tested characteristics wave 2
	Category	Total	%	Tested	%
cons	==1	17703458	100.0	1411184	7.97

Age (years)	Mean (SD)	49.7	18.7	46.2	18.8	

male	==0	8862278	50.1	784880	8.86
male	==1	8841180	49.9	626304	7.08

eth5	==1	11364422	64.2	921179	8.11
eth5	==2	1060802	6.0	90200	8.50
eth5	==3	355954	2.0	24091	6.77
eth5	==4	179659	1.0	14051	7.82
eth5	==5	335055	1.9	17390	5.19
eth5	==6	4407566	24.9	344273	7.81
eth5	>=.	0	0.0	0	   .

imd	==1	3609082	20.4	281982	7.81
imd	==2	3551128	20.1	275136	7.75
imd	==3	3616366	20.4	276680	7.65
imd	==4	3544708	20.0	282945	7.98
imd	==5	3382174	19.1	294441	8.71

region2	==1	4109430	23.2	282001	6.86
region2	==2	3092176	17.5	252072	8.15
region2	==3	1236420	7.0	75885	6.14
region2	==4	813966	4.6	82813	10.17
region2	==5	1563836	8.8	160167	10.24
region2	==6	1181275	6.7	78083	6.61
region2	==7	2473437	14.0	169820	6.87
region2	==8	711605	4.0	65975	9.27

Count of co-morbid conditions	Mean (SD)	0.6	0.9	0.7	0.9	

