eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"positivetest"	"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"positivetest"	""
"positivetest"	"2.ethnicity_16"	"Eth 16 categories"	.84953192	.03582346	-3.8671017	.00011014	.78214241	.92272772	"crude"	"positivetest"	""
"positivetest"	"3.ethnicity_16"	"Eth 16 categories"	1.1448414	.01271419	12.179948	3.975e-34	1.1201913	1.1700339	"crude"	"positivetest"	""
"positivetest"	"4.ethnicity_16"	"Eth 16 categories"	1.1186287	.05203796	2.4098233	.01596025	1.0211477	1.2254155	"crude"	"positivetest"	""
"positivetest"	"5.ethnicity_16"	"Eth 16 categories"	1.2715564	.06960501	4.3887761	.0000114	1.1421965	1.4155669	"crude"	"positivetest"	""
"positivetest"	"6.ethnicity_16"	"Eth 16 categories"	1.3864577	.06784072	6.6778178	2.425e-11	1.2596692	1.5260078	"crude"	"positivetest"	""
"positivetest"	"7.ethnicity_16"	"Eth 16 categories"	1.2055011	.0506283	4.4501311	8.582e-06	1.1102457	1.3089292	"crude"	"positivetest"	""
"positivetest"	"8.ethnicity_16"	"Eth 16 categories"	1.7463921	.02456224	39.642337	0	1.6989085	1.7952029	"crude"	"positivetest"	""
"positivetest"	"9.ethnicity_16"	"Eth 16 categories"	2.0258124	.02580718	55.417309	0	1.9758575	2.0770303	"crude"	"positivetest"	""
"positivetest"	"10.ethnicity_16"	"Eth 16 categories"	2.2097813	.07000047	25.030136	2.87e-138	2.0767552	2.3513284	"crude"	"positivetest"	""
"positivetest"	"11.ethnicity_16"	"Eth 16 categories"	1.6992505	.03541661	25.437809	9.63e-143	1.6312339	1.7701031	"crude"	"positivetest"	""
"positivetest"	"12.ethnicity_16"	"Eth 16 categories"	.96016382	.03916374	-.9966354	.31894152	.88639239	1.040075	"crude"	"positivetest"	""
"positivetest"	"13.ethnicity_16"	"Eth 16 categories"	1.129089	.02824233	4.8538453	1.211e-06	1.07507	1.1858222	"crude"	"positivetest"	""
"positivetest"	"14.ethnicity_16"	"Eth 16 categories"	1.1703707	.04794861	3.8400151	.00012303	1.0800673	1.2682244	"crude"	"positivetest"	""
"positivetest"	"15.ethnicity_16"	"Eth 16 categories"	.52960506	.0340883	-9.8752221	5.331e-23	.46683575	.60081415	"crude"	"positivetest"	""
"positivetest"	"16.ethnicity_16"	"Eth 16 categories"	1.3024082	.03115631	11.044819	2.322e-28	1.2427524	1.3649277	"crude"	"positivetest"	""
