eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"hes"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"	""
"hes"	"2.eth5"	"Eth 5 categories"	1.0601867	.03462521	1.789524	.07353046	.99444897	1.13027	"crude"	"hes"	""
"hes"	"3.eth5"	"Eth 5 categories"	1.0508293	.07766149	.67085643	.50231199	.90912613	1.2146193	"crude"	"hes"	""
"hes"	"4.eth5"	"Eth 5 categories"	.66879986	.07504818	-3.5848756	.00033724	.53675996	.83332083	"crude"	"hes"	""
"hes"	"5.eth5"	"Eth 5 categories"	.90386462	.08432996	-1.0833484	.27865379	.75281256	1.0852253	"crude"	"hes"	""
"hes"	"6.eth5"	"Eth 5 categories"	.77393057	.01857526	-10.677516	1.297e-26	.73836679	.81120731	"crude"	"hes"	""
"hes"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"hes"	""
"hes"	"2.stp"	"Sustainability and Transformation Partnership"	.63610211	.33001594	-.87198866	.38321456	.23009926	1.7584841	"crude"	"hes"	""
"hes"	"3.stp"	"Sustainability and Transformation Partnership"	.70134076	.36461585	-.68238566	.49499512	.25316461	1.9429211	"crude"	"hes"	""
"hes"	"4.stp"	"Sustainability and Transformation Partnership"	.89785457	.46799358	-.20671499	.83623245	.32324337	2.4939192	"crude"	"hes"	""
"hes"	"5.stp"	"Sustainability and Transformation Partnership"	.70216339	.36844239	-.67385665	.50040245	.25106826	1.9637426	"crude"	"hes"	""
"hes"	"6.stp"	"Sustainability and Transformation Partnership"	.95195214	.49409952	-.09486878	.92441906	.34419852	2.6328204	"crude"	"hes"	""
"hes"	"7.stp"	"Sustainability and Transformation Partnership"	1.4125539	.74958753	.65088487	.51512081	.49923544	3.9967285	"crude"	"hes"	""
"hes"	"8.stp"	"Sustainability and Transformation Partnership"	.91356208	.47488174	-.17391619	.86193133	.32981634	2.5304861	"crude"	"hes"	""
"hes"	"9.stp"	"Sustainability and Transformation Partnership"	.79362059	.4142834	-.44280129	.65790947	.28527998	2.2077737	"crude"	"hes"	""
"hes"	"10.stp"	"Sustainability and Transformation Partnership"	.86888459	.45146779	-.27048964	.78678358	.31382123	2.4057022	"crude"	"hes"	""
"hes"	"11.stp"	"Sustainability and Transformation Partnership"	.69447118	.3611558	-.70110295	.48323877	.25060613	1.9244949	"crude"	"hes"	""
