eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"positivetest"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"positivetest"	""
"positivetest"	"2.eth5"	"Eth 5 categories"	1.8565358	.01632533	70.360697	0	1.8248129	1.8888102	"crude"	"positivetest"	""
"positivetest"	"3.eth5"	"Eth 5 categories"	1.0844243	.0207507	4.2356044	.00002279	1.0445069	1.1258672	"crude"	"positivetest"	""
"positivetest"	"4.eth5"	"Eth 5 categories"	1.2179744	.02907362	8.2607979	1.447e-16	1.1623036	1.2763117	"crude"	"positivetest"	""
"positivetest"	"5.eth5"	"Eth 5 categories"	1.1141764	.02485869	4.8457789	1.261e-06	1.0665042	1.1639795	"crude"	"positivetest"	""
"positivetest"	"6.eth5"	"Eth 5 categories"	1.1950273	.00675379	31.525527	3.88e-218	1.1818631	1.208338	"crude"	"positivetest"	""
"positivetest"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"positivetest"	""
"positivetest"	"2.stp"	"Sustainability and Transformation Partnership"	1.2286456	.17882585	1.414747	.15714268	.92371216	1.6342427	"crude"	"positivetest"	""
"positivetest"	"3.stp"	"Sustainability and Transformation Partnership"	.91303454	.13308396	-.62418727	.5325046	.6861452	1.2149499	"crude"	"positivetest"	""
"positivetest"	"4.stp"	"Sustainability and Transformation Partnership"	1.5223396	.22270422	2.8726926	.0040699	1.1428484	2.0278437	"crude"	"positivetest"	""
"positivetest"	"5.stp"	"Sustainability and Transformation Partnership"	1.1782473	.17297676	1.1172916	.26386965	.88363473	1.5710865	"crude"	"positivetest"	""
"positivetest"	"6.stp"	"Sustainability and Transformation Partnership"	1.3000608	.18936946	1.8015061	.07162315	.97718304	1.7296227	"crude"	"positivetest"	""
"positivetest"	"7.stp"	"Sustainability and Transformation Partnership"	.86616712	.12994915	-.95767189	.33822824	.64550231	1.1622662	"crude"	"positivetest"	""
"positivetest"	"8.stp"	"Sustainability and Transformation Partnership"	.93300639	.13606456	-.47549251	.63443597	.70105168	1.2417072	"crude"	"positivetest"	""
"positivetest"	"9.stp"	"Sustainability and Transformation Partnership"	.65324543	.09553202	-2.9116253	.00359554	.4904501	.87007748	"crude"	"positivetest"	""
"positivetest"	"10.stp"	"Sustainability and Transformation Partnership"	1.0396127	.15155222	.26648953	.78986222	.78124177	1.3834315	"crude"	"positivetest"	""
"positivetest"	"11.stp"	"Sustainability and Transformation Partnership"	.89211409	.13008307	-.78292175	.43367307	.67035208	1.1872381	"crude"	"positivetest"	""
"positivetest"	"12.stp"	"Sustainability and Transformation Partnership"	.92867412	.13593938	-.50551541	.61319688	.69705076	1.2372637	"crude"	"positivetest"	""
"positivetest"	"13.stp"	"Sustainability and Transformation Partnership"	.77546415	.11328329	-1.7407291	.08173107	.58239063	1.0325452	"crude"	"positivetest"	""
"positivetest"	"14.stp"	"Sustainability and Transformation Partnership"	.45322012	.06638855	-5.4025604	6.570e-08	.34011326	.60394141	"crude"	"positivetest"	""
"positivetest"	"15.stp"	"Sustainability and Transformation Partnership"	.37891942	.05552538	-6.6224742	3.532e-11	.28432503	.50498519	"crude"	"positivetest"	""
"positivetest"	"16.stp"	"Sustainability and Transformation Partnership"	.32444225	.04756717	-7.6777253	1.619e-14	.2434114	.43244799	"crude"	"positivetest"	""
"positivetest"	"17.stp"	"Sustainability and Transformation Partnership"	.30919582	.04542529	-7.9895585	1.354e-15	.23183549	.41237023	"crude"	"positivetest"	""
"positivetest"	"18.stp"	"Sustainability and Transformation Partnership"	.38587326	.05642736	-6.5118477	7.423e-11	.28971503	.51394702	"crude"	"positivetest"	""
"positivetest"	"19.stp"	"Sustainability and Transformation Partnership"	.42721057	.06251764	-5.8116926	6.184e-09	.32068442	.56912296	"crude"	"positivetest"	""
"positivetest"	"20.stp"	"Sustainability and Transformation Partnership"	.3761512	.05495996	-6.6919109	2.203e-11	.28248296	.50087881	"crude"	"positivetest"	""
"positivetest"	"21.stp"	"Sustainability and Transformation Partnership"	.49108448	.07165969	-4.8734425	1.097e-06	.36893323	.65367918	"crude"	"positivetest"	""
"positivetest"	"22.stp"	"Sustainability and Transformation Partnership"	.50516777	.07633324	-4.5191483	6.209e-06	.37567739	.67929156	"crude"	"positivetest"	""
"positivetest"	"23.stp"	"Sustainability and Transformation Partnership"	.34225792	.05016034	-7.3158542	2.557e-13	.25680522	.45614527	"crude"	"positivetest"	""
"positivetest"	"24.stp"	"Sustainability and Transformation Partnership"	.43624891	.07071492	-5.1175467	3.095e-07	.3175094	.59939364	"crude"	"positivetest"	""
"positivetest"	"25.stp"	"Sustainability and Transformation Partnership"	.21092443	.03191792	-10.284262	8.298e-25	.15679047	.28374883	"crude"	"positivetest"	""
"positivetest"	"26.stp"	"Sustainability and Transformation Partnership"	.34881366	.05112979	-7.1851781	6.712e-13	.26171144	.46490506	"crude"	"positivetest"	""
"positivetest"	"27.stp"	"Sustainability and Transformation Partnership"	.39074831	.05719303	-6.4200645	1.362e-10	.29329758	.5205779	"crude"	"positivetest"	""
"positivetest"	"28.stp"	"Sustainability and Transformation Partnership"	.45752767	.06694191	-5.3441721	9.083e-08	.34345998	.60947878	"crude"	"positivetest"	""
"positivetest"	"29.stp"	"Sustainability and Transformation Partnership"	.36610038	.05376693	-6.8420337	7.808e-12	.27452974	.48821482	"crude"	"positivetest"	""
"positivetest"	"30.stp"	"Sustainability and Transformation Partnership"	.36282041	.05341474	-6.8865722	5.715e-12	.27187987	.48417946	"crude"	"positivetest"	""
"positivetest"	"31.stp"	"Sustainability and Transformation Partnership"	.26365531	.04883565	-7.1972464	6.144e-13	.18338862	.37905361	"crude"	"positivetest"	""
"positivetest"	"32.stp"	"Sustainability and Transformation Partnership"	.99848211	.14539011	-.01043219	.99167647	.75057806	1.3282649	"crude"	"positivetest"	""
"positivetest"	"_cons"	"Constant"	.22664832	.03296639	-10.205144	1.880e-24	.17042911	.30141248	"crude"	"positivetest"	""
"positivetest"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"positivetest"	""
"positivetest"	"2.eth5"	"Eth 5 categories"	1.8107927	.01604435	67.013288	0	1.7796178	1.8425137	"model0"	"positivetest"	""
"positivetest"	"3.eth5"	"Eth 5 categories"	1.0494688	.02014129	2.5158629	.01187414	1.0107259	1.0896969	"model0"	"positivetest"	""
"positivetest"	"4.eth5"	"Eth 5 categories"	1.1295795	.02706135	5.0860027	3.657e-07	1.0777662	1.1838837	"model0"	"positivetest"	""
"positivetest"	"5.eth5"	"Eth 5 categories"	1.074882	.02405873	3.2261969	.00125447	1.0287471	1.1230858	"model0"	"positivetest"	""
"positivetest"	"6.eth5"	"Eth 5 categories"	1.10996	.00642329	18.027429	1.187e-72	1.0974417	1.122621	"model0"	"positivetest"	""
"positivetest"	"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	""
"positivetest"	"1.male"	"Male"	1.0938678	.00526829	18.628735	1.879e-77	1.0835907	1.1042423	"model0"	"positivetest"	""
"positivetest"	"age1"	"Age spline 1"	.96163778	.00054935	-68.475699	0	.96056168	.96271508	"model0"	"positivetest"	""
"positivetest"	"age2"	"Age spline 2"	1.1417026	.00242479	62.396927	0	1.13696	1.146465	"model0"	"positivetest"	""
"positivetest"	"age3"	"Age spline 3"	.66835444	.00416813	-64.610375	0	.66023478	.67657396	"model0"	"positivetest"	""
"positivetest"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model0"	"positivetest"	""
"positivetest"	"2.stp"	"Sustainability and Transformation Partnership"	1.2172394	.17764043	1.3470559	.17796224	.91443759	1.6203092	"model0"	"positivetest"	""
"positivetest"	"3.stp"	"Sustainability and Transformation Partnership"	.91315904	.13346016	-.62157972	.53421826	.68571158	1.2160498	"model0"	"positivetest"	""
"positivetest"	"4.stp"	"Sustainability and Transformation Partnership"	1.5133102	.22198037	2.8244099	.00473678	1.1351917	2.0173754	"model0"	"positivetest"	""
"positivetest"	"5.stp"	"Sustainability and Transformation Partnership"	1.1723012	.17256799	1.0799171	.28017911	.87849343	1.5643715	"model0"	"positivetest"	""
"positivetest"	"6.stp"	"Sustainability and Transformation Partnership"	1.2882007	.18814599	1.7339311	.0829303	.96752613	1.7151588	"model0"	"positivetest"	""
"positivetest"	"7.stp"	"Sustainability and Transformation Partnership"	.86691957	.130417	-.94929322	.3424715	.64554479	1.1642098	"model0"	"positivetest"	""
"positivetest"	"8.stp"	"Sustainability and Transformation Partnership"	.93124626	.1361727	-.48713213	.6261647	.69919205	1.2403167	"model0"	"positivetest"	""
"positivetest"	"9.stp"	"Sustainability and Transformation Partnership"	.65120781	.09549196	-2.9250659	.00344383	.48854089	.8680371	"model0"	"positivetest"	""
"positivetest"	"10.stp"	"Sustainability and Transformation Partnership"	1.0337009	.15109466	.226762	.82060882	.77620409	1.3766194	"model0"	"positivetest"	""
"positivetest"	"11.stp"	"Sustainability and Transformation Partnership"	.86652771	.12669269	-.97984966	.32716034	.65062472	1.1540758	"model0"	"positivetest"	""
"positivetest"	"12.stp"	"Sustainability and Transformation Partnership"	.92299036	.13547114	-.545985	.58507625	.69224969	1.2306415	"model0"	"positivetest"	""
"positivetest"	"13.stp"	"Sustainability and Transformation Partnership"	.76436545	.11196249	-1.8344723	.06658392	.57361303	1.0185517	"model0"	"positivetest"	""
"positivetest"	"14.stp"	"Sustainability and Transformation Partnership"	.45209797	.06640129	-5.405028	6.480e-08	.33901073	.60290886	"model0"	"positivetest"	""
"positivetest"	"15.stp"	"Sustainability and Transformation Partnership"	.37382376	.05492575	-6.6968892	2.129e-11	.28028526	.4985785	"model0"	"positivetest"	""
"positivetest"	"16.stp"	"Sustainability and Transformation Partnership"	.32991816	.04849967	-7.543345	4.581e-14	.24732909	.44008568	"model0"	"positivetest"	""
"positivetest"	"17.stp"	"Sustainability and Transformation Partnership"	.31383996	.0462314	-7.8669562	3.634e-15	.23513579	.41888783	"model0"	"positivetest"	""
"positivetest"	"18.stp"	"Sustainability and Transformation Partnership"	.38757275	.05682782	-6.4644662	1.017e-10	.29076752	.51660734	"model0"	"positivetest"	""
"positivetest"	"19.stp"	"Sustainability and Transformation Partnership"	.43067106	.06319302	-5.7411707	9.402e-09	.32303353	.57417435	"model0"	"positivetest"	""
"positivetest"	"20.stp"	"Sustainability and Transformation Partnership"	.38441286	.0563179	-6.5256938	6.769e-11	.28846542	.51227371	"model0"	"positivetest"	""
"positivetest"	"21.stp"	"Sustainability and Transformation Partnership"	.48690711	.07123986	-4.918851	8.705e-07	.36551566	.6486139	"model0"	"positivetest"	""
"positivetest"	"22.stp"	"Sustainability and Transformation Partnership"	.50519351	.07654198	-4.5067175	6.584e-06	.37539806	.67986626	"model0"	"positivetest"	""
"positivetest"	"23.stp"	"Sustainability and Transformation Partnership"	.35120609	.05161056	-7.1205539	1.075e-12	.26331523	.46843366	"model0"	"positivetest"	""
"positivetest"	"24.stp"	"Sustainability and Transformation Partnership"	.43602524	.07086698	-5.1071031	3.271e-07	.31707808	.59959366	"model0"	"positivetest"	""
"positivetest"	"25.stp"	"Sustainability and Transformation Partnership"	.22006089	.03338779	-9.9778802	1.905e-23	.16345491	.29627006	"model0"	"positivetest"	""
"positivetest"	"26.stp"	"Sustainability and Transformation Partnership"	.35814453	.05263904	-6.9862496	2.823e-12	.26850427	.47771123	"model0"	"positivetest"	""
"positivetest"	"27.stp"	"Sustainability and Transformation Partnership"	.39217455	.05755637	-6.3779958	1.794e-10	.29414079	.52288184	"model0"	"positivetest"	""
"positivetest"	"28.stp"	"Sustainability and Transformation Partnership"	.46968299	.06890667	-5.150999	2.591e-07	.35231084	.6261576	"model0"	"positivetest"	""
"positivetest"	"29.stp"	"Sustainability and Transformation Partnership"	.36795389	.0541847	-6.7893604	1.126e-11	.2757058	.49106716	"model0"	"positivetest"	""
"positivetest"	"30.stp"	"Sustainability and Transformation Partnership"	.36716532	.05419975	-6.7874622	1.141e-11	.27492236	.49035799	"model0"	"positivetest"	""
"positivetest"	"31.stp"	"Sustainability and Transformation Partnership"	.26963339	.05006061	-7.0595692	1.670e-12	.18738641	.38797992	"model0"	"positivetest"	""
"positivetest"	"32.stp"	"Sustainability and Transformation Partnership"	.98834528	.14430025	-.08029468	.93600289	.74238927	1.3157873	"model0"	"positivetest"	""
"positivetest"	"_cons"	"Constant"	.72496863	.10645593	-2.1902905	.02850318	.5436595	.96674393	"model0"	"positivetest"	""
"positivetest"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"positivetest"	""
"positivetest"	"2.eth5"	"Eth 5 categories"	1.8040854	.01612909	65.999216	0	1.7727483	1.8359764	"model1"	"positivetest"	""
"positivetest"	"3.eth5"	"Eth 5 categories"	1.0447575	.02011903	2.2736909	.02298458	1.0060598	1.0849436	"model1"	"positivetest"	""
"positivetest"	"4.eth5"	"Eth 5 categories"	1.1277183	.02702625	5.015409	5.292e-07	1.0759726	1.1819525	"model1"	"positivetest"	""
"positivetest"	"5.eth5"	"Eth 5 categories"	1.0724763	.02401869	3.124293	.00178233	1.0264187	1.1206005	"model1"	"positivetest"	""
"positivetest"	"6.eth5"	"Eth 5 categories"	1.1097865	.00642313	17.998041	2.018e-72	1.0972685	1.1224473	"model1"	"positivetest"	""
"positivetest"	"0b.male"	"Male"	1	0			1	1	"model1"	"positivetest"	""
"positivetest"	"1.male"	"Male"	1.0938806	.00526844	18.630857	1.806e-77	1.0836032	1.1042555	"model1"	"positivetest"	""
"positivetest"	"age1"	"Age spline 1"	.96162343	.00054943	-68.489772	0	.96054717	.96270091	"model1"	"positivetest"	""
"positivetest"	"age2"	"Age spline 2"	1.1418667	.00242647	62.43021	0	1.1371208	1.1466324	"model1"	"positivetest"	""
"positivetest"	"age3"	"Age spline 3"	.66808488	.00416861	-64.641597	0	.65996431	.67630536	"model1"	"positivetest"	""
"positivetest"	"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"positivetest"	""
"positivetest"	"2.imd"	"Index of Multiple Deprivation (IMD)"	.98560477	.00782065	-1.8273559	.06764627	.97039514	1.0010528	"model1"	"positivetest"	""
"positivetest"	"3.imd"	"Index of Multiple Deprivation (IMD)"	.9753556	.00778753	-3.1252799	.00177636	.96021114	.99073893	"model1"	"positivetest"	""
"positivetest"	"4.imd"	"Index of Multiple Deprivation (IMD)"	1.0070069	.00786194	.89436081	.37112887	.9917151	1.0225345	"model1"	"positivetest"	""
"positivetest"	"5.imd"	"Index of Multiple Deprivation (IMD)"	1.0066856	.00774073	.86657285	.38617609	.9916278	1.0219721	"model1"	"positivetest"	""
"positivetest"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"model1"	"positivetest"	""
"positivetest"	"2.stp"	"Sustainability and Transformation Partnership"	1.2286485	.17935882	1.4105629	.15837353	.92293001	1.6356356	"model1"	"positivetest"	""
"positivetest"	"3.stp"	"Sustainability and Transformation Partnership"	.92233167	.13485031	-.55298999	.58027026	.69252659	1.2283943	"model1"	"positivetest"	""
"positivetest"	"4.stp"	"Sustainability and Transformation Partnership"	1.5276269	.2241474	2.887739	.00388022	1.1458327	2.0366358	"model1"	"positivetest"	""
"positivetest"	"5.stp"	"Sustainability and Transformation Partnership"	1.1825682	.17416718	1.1385793	.25487865	.88605832	1.578302	"model1"	"positivetest"	""
"positivetest"	"6.stp"	"Sustainability and Transformation Partnership"	1.3002816	.18996914	1.7972872	.07229004	.97651338	1.731397	"model1"	"positivetest"	""
"positivetest"	"7.stp"	"Sustainability and Transformation Partnership"	.87437532	.1315836	-.89206418	.37235853	.65103102	1.1743407	"model1"	"positivetest"	""
"positivetest"	"8.stp"	"Sustainability and Transformation Partnership"	.94125132	.13769817	-.41386279	.67897459	.70661206	1.2538054	"model1"	"positivetest"	""
"positivetest"	"9.stp"	"Sustainability and Transformation Partnership"	.65850466	.0966086	-2.8477021	.00440361	.49394647	.8778854	"model1"	"positivetest"	""
"positivetest"	"10.stp"	"Sustainability and Transformation Partnership"	1.0438067	.15263064	.29320757	.7693635	.78370588	1.3902312	"model1"	"positivetest"	""
"positivetest"	"11.stp"	"Sustainability and Transformation Partnership"	.8774405	.12836354	-.89372694	.37146801	.65870767	1.1688065	"model1"	"positivetest"	""
"positivetest"	"12.stp"	"Sustainability and Transformation Partnership"	.92885591	.13635449	-.50274185	.61514578	.69661591	1.2385208	"model1"	"positivetest"	""
"positivetest"	"13.stp"	"Sustainability and Transformation Partnership"	.77041999	.112875	-1.7802041	.07504256	.57811889	1.0266867	"model1"	"positivetest"	""
"positivetest"	"14.stp"	"Sustainability and Transformation Partnership"	.45738433	.06721078	-5.3232577	1.019e-07	.34292618	.61004506	"model1"	"positivetest"	""
"positivetest"	"15.stp"	"Sustainability and Transformation Partnership"	.37888803	.05570035	-6.6016882	4.065e-11	.28403751	.50541261	"model1"	"positivetest"	""
"positivetest"	"16.stp"	"Sustainability and Transformation Partnership"	.33403987	.04912754	-7.4555538	8.949e-14	.25038675	.44564114	"model1"	"positivetest"	""
"positivetest"	"17.stp"	"Sustainability and Transformation Partnership"	.31833155	.04691859	-7.7662601	8.084e-15	.23846348	.42494966	"model1"	"positivetest"	""
"positivetest"	"18.stp"	"Sustainability and Transformation Partnership"	.39249467	.0575825	-6.3747441	1.833e-10	.29441155	.52325416	"model1"	"positivetest"	""
"positivetest"	"19.stp"	"Sustainability and Transformation Partnership"	.43688945	.06415081	-5.6394814	1.706e-08	.32763109	.58258328	"model1"	"positivetest"	""
"positivetest"	"20.stp"	"Sustainability and Transformation Partnership"	.38919317	.05705071	-6.4376695	1.213e-10	.29200482	.51872884	"model1"	"positivetest"	""
"positivetest"	"21.stp"	"Sustainability and Transformation Partnership"	.49369769	.07227848	-4.8211803	1.427e-06	.37054694	.65777742	"model1"	"positivetest"	""
"positivetest"	"22.stp"	"Sustainability and Transformation Partnership"	.5132908	.07781928	-4.398912	.00001088	.38134147	.69089639	"model1"	"positivetest"	""
"positivetest"	"23.stp"	"Sustainability and Transformation Partnership"	.35650157	.05242133	-7.0143522	2.310e-12	.26723761	.47558189	"model1"	"positivetest"	""
"positivetest"	"24.stp"	"Sustainability and Transformation Partnership"	.44208385	.07189833	-5.0189409	5.196e-07	.32141744	.60805079	"model1"	"positivetest"	""
"positivetest"	"25.stp"	"Sustainability and Transformation Partnership"	.22333005	.03390335	-9.874985	5.344e-23	.16585467	.30072297	"model1"	"positivetest"	""
"positivetest"	"26.stp"	"Sustainability and Transformation Partnership"	.36277955	.05334875	-6.8950799	5.383e-12	.27193735	.48396809	"model1"	"positivetest"	""
"positivetest"	"27.stp"	"Sustainability and Transformation Partnership"	.39777396	.05841595	-6.2773337	3.444e-10	.29828493	.53044626	"model1"	"positivetest"	""
"positivetest"	"28.stp"	"Sustainability and Transformation Partnership"	.47641565	.06993508	-5.0510464	4.394e-07	.35730124	.63523953	"model1"	"positivetest"	""
"positivetest"	"29.stp"	"Sustainability and Transformation Partnership"	.37214962	.0548268	-6.7093964	1.954e-11	.27881404	.49673016	"model1"	"positivetest"	""
"positivetest"	"30.stp"	"Sustainability and Transformation Partnership"	.37222449	.05497984	-6.6907053	2.221e-11	.27866169	.49720172	"model1"	"positivetest"	""
"positivetest"	"31.stp"	"Sustainability and Transformation Partnership"	.27478893	.0510425	-6.9541888	3.546e-12	.19093571	.39546798	"model1"	"positivetest"	""
"positivetest"	"32.stp"	"Sustainability and Transformation Partnership"	.99640885	.1455231	-.02463318	.98034755	.74837909	1.3266413	"model1"	"positivetest"	""
