parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.92811012	.0119385	-5.799853	6.637e-09	.90500359	.95180661	"crude"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.68586488	.00260944	-99.110363	0	.6807695	.6909984	"crude"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	1.0503935	.01740914	2.9664019	.00301306	1.0168205	1.0850751	"crude"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.91522184	.01780969	-4.5524889	5.301e-06	.88097277	.95080239	"crude"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	1.0127813	.01849132	.69560528	.48667606	.9771798	1.0496799	"crude"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.87854608	.01279808	-8.888851	6.174e-19	.85381701	.90399138	"crude"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.94177976	.00532479	-10.609157	2.702e-26	.93140097	.9522742	"crude"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.217972	.00681435	35.244507	4.16e-272	1.2046891	1.2314014	"crude"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.91637271	.01224189	-6.5372863	6.265e-11	.89269043	.94068326	"crude"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.83022612	.0067957	-22.730498	2.24e-114	.81701308	.84365285	"crude"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.76930193	.01047638	-19.259153	1.183e-82	.74904022	.79011174	"crude"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.83158596	.00718176	-21.35433	3.55e-101	.81762844	.84578175	"crude"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.82022516	.0117417	-13.843756	1.388e-43	.79753169	.84356436	"crude"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.4196762	.00692809	-52.596467	0	.40631472	.43347707	"crude"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.72893513	.00631356	-36.503643	9.71e-292	.71666523	.7414151	"crude"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.93537675	.00190536	-32.796271	6.65e-236	.93164976	.93911865	"crude"	"tested"	""
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.94699232	.01218103	-4.2342287	.00002293	.92341637	.97117019	"model0"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.61248594	.00234542	-128.01915	0	.60790621	.61710017	"model0"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.90105605	.0149407	-6.2834445	3.312e-10	.87224353	.93082031	"model0"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.80502807	.01566981	-11.141997	7.834e-29	.77489427	.8363337	"model0"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.86251285	.01575447	-8.097396	5.615e-16	.83218085	.89395042	"model0"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.75164896	.010956	-19.586083	2.032e-85	.73047942	.773432	"model0"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.87956157	.00497813	-22.674298	8.04e-114	.86985852	.88937284	"model0"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.0765626	.00604486	13.138683	1.976e-39	1.0647798	1.0884757	"model0"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.79578176	.01063954	-17.085391	1.907e-65	.7751995	.8169105	"model0"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.74535843	.00610451	-35.883858	5.45e-282	.73348933	.7574196	"model0"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.76435643	.01040848	-19.733784	1.106e-86	.74422602	.78503135	"model0"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.7398614	.00639651	-34.849391	4.35e-266	.72743009	.75250516	"model0"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.73984465	.01059487	-21.040965	2.767e-98	.7193678	.76090439	"model0"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.35125669	.00580293	-63.329736	0	.34006531	.36281636	"model0"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.64678528	.00560734	-50.261011	0	.63588794	.65786938	"model0"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.88334589	.00182309	-60.100746	0	.87977993	.88692631	"model0"	"tested"	""
