parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.4989224	.18628405	3.2567655	.00112689	1.1748785	1.9123409	"crude"	"tested"	""
"3.eth5"	"Eth 5 categories"	1.014824	.16921904	.08824863	.92967906	.73190595	1.407104	"crude"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.6613281	.32776377	2.5729474	.01008365	1.1285523	2.4456209	"crude"	"tested"	""
"5.eth5"	"Eth 5 categories"	.95556889	.20472583	-.21213297	.8320033	.62790849	1.4542117	"crude"	"tested"	""
"6.eth5"	"Eth 5 categories"	.95451004	.02902668	-1.5309791	.12577455	.89928105	1.0131309	"crude"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.3124951	.16483857	2.1651896	.03037317	1.0261097	1.6788101	"model0"	"tested"	""
"3.eth5"	"Eth 5 categories"	.92803778	.15523416	-.44647707	.65525268	.66862714	1.2880933	"model0"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.4731408	.29198537	1.9545156	.05064028	.99892067	2.1724887	"model0"	"tested"	""
"5.eth5"	"Eth 5 categories"	.86915035	.18665939	-.65300176	.51375515	.57054542	1.3240354	"model0"	"tested"	""
"6.eth5"	"Eth 5 categories"	.96831098	.02953989	-1.0555737	.29116301	.91211075	1.027974	"model0"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	""
"1.male"	"Male"	.99454918	.02862254	-.18991798	.8493734	.94000288	1.0522607	"model0"	"tested"	""
"age1"	"Age spline 1"	1.0272405	.01228652	2.2470319	.02463799	1.0034394	1.0516061	"model0"	"tested"	""
"age2"	"Age spline 2"	.91348268	.02805452	-2.9464708	.00321423	.86011902	.97015715	"model0"	"tested"	""
"age3"	"Age spline 3"	1.2451323	.09222418	2.9600164	.00307623	1.076884	1.4396672	"model0"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.2768164	.16053327	1.9436184	.05194148	.99794699	1.6336141	"model1"	"tested"	""
"3.eth5"	"Eth 5 categories"	.90221192	.15089584	-.61527792	.5383712	.65004625	1.2521976	"model1"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.450841	.28757457	1.8774986	.0604498	.9837872	2.1396289	"model1"	"tested"	""
"5.eth5"	"Eth 5 categories"	.8717803	.18721401	-.63896825	.52284359	.57228493	1.3280114	"model1"	"tested"	""
"6.eth5"	"Eth 5 categories"	.9715883	.02964778	-.94456334	.34488185	.91518325	1.0314697	"model1"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"tested"	""
"1.male"	"Male"	.98964381	.028511	-.36134757	.71783963	.93531165	1.0471321	"model1"	"tested"	""
"age1"	"Age spline 1"	1.0270106	.01228774	2.227598	.02590733	1.0032073	1.0513787	"model1"	"tested"	""
"age2"	"Age spline 2"	.91267097	.02802902	-2.9754777	.00292533	.85935578	.96929389	"model1"	"tested"	""
"age3"	"Age spline 3"	1.2510341	.09265057	3.024209	.00249284	1.0820064	1.4464667	"model1"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1225827	.04822552	2.691655	.00710984	1.0319323	1.2211963	"model1"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0619877	.04585797	1.3927881	.16368386	.97580611	1.1557807	"model1"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2503642	.05242744	5.3287925	9.887e-08	1.1517172	1.3574604	"model1"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.284499	.05652074	5.68992	1.271e-08	1.1783629	1.4001949	"model1"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.2715648	.16047456	1.9036744	.05695261	.99292129	1.6284042	"model2"	"tested"	""
"3.eth5"	"Eth 5 categories"	.89581502	.15016083	-.65635472	.51159592	.64496453	1.2442305	"model2"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.4207763	.28183963	1.7704448	.07665307	.96310297	2.0959393	"model2"	"tested"	""
"5.eth5"	"Eth 5 categories"	.87341132	.18764938	-.62997846	.52870868	.57324614	1.3307501	"model2"	"tested"	""
"6.eth5"	"Eth 5 categories"	.97300059	.02994246	-.88942587	.37377425	.91604921	1.0334927	"model2"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"tested"	""
"1.male"	"Male"	1.001567	.02975081	.05271126	.95796197	.94492139	1.0616083	"model2"	"tested"	""
"age1"	"Age spline 1"	1.0287214	.01235379	2.3579809	.01837464	1.0047912	1.0532216	"model2"	"tested"	""
"age2"	"Age spline 2"	.90590217	.02802039	-3.1949888	.00139836	.85261476	.96251997	"model2"	"tested"	""
"age3"	"Age spline 3"	1.271861	.09496276	3.2208278	.00127821	1.0987154	1.4722926	"model2"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1214391	.04821361	2.66587	.00767894	1.030814	1.2200316	"model2"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0604085	.04582773	1.3572006	.17471747	.97428671	1.154143	"model2"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.2482512	.05241263	5.2810101	1.285e-07	1.1496378	1.3553235	"model2"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.2825631	.05655648	5.6435503	1.666e-08	1.1763696	1.398343	"model2"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"tested"	""
