Table 0: Outcome counts by ethnic group
	Total	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
Main population: no care homes
N	 1.76e+07 (100.0)	  9831900 (100.0)	   81,098 (100.0)	  1396114 (100.0)	   41,165 (100.0)	   34,984 (100.0)	   36,208 (100.0)	   66,975 (100.0)	  447,070 (100.0)	  309,010 (100.0)	   73,115 (100.0)	  230,783 (100.0)	   84,149 (100.0)	  198,863 (100.0)	   72,252 (100.0)	  105,571 (100.0)	  228,812 (100.0)	  4401095 (100.0)	

tested	  1411028 (8.0)	  835,100 (8.5)	    6,113 (7.5)	   78,373 (5.6)	    3,665 (8.9)	    2,652 (7.6)	    3,014 (8.3)	    4,758 (7.1)	   34,739 (7.8)	   34,733 (11.2)	    5,683 (7.8)	   15,534 (6.7)	    5,486 (6.5)	   13,792 (6.9)	    4,935 (6.8)	    3,695 (3.5)	   13,732 (6.0)	  345,024 (7.8)	
positivetest	  215,541 (1.2)	  118,143 (1.2)	      647 (0.8)	   11,047 (0.8)	      564 (1.4)	      411 (1.2)	      527 (1.5)	      689 (1.0)	    7,719 (1.7)	   10,198 (3.3)	    1,417 (1.9)	    3,134 (1.4)	      719 (0.9)	    1,972 (1.0)	      725 (1.0)	      264 (0.3)	    2,219 (1.0)	   55,146 (1.3)	
hes	   14,360 (0.1)	    8,558 (0.1)	       62 (0.1)	      614 (0.0)	       32 (0.1)	       18 (0.1)	       27 (0.1)	       23 (0.0)	      487 (0.1)	      736 (0.2)	      112 (0.2)	      221 (0.1)	       94 (0.1)	      131 (0.1)	       51 (0.1)	       16 (0.0)	      135 (0.1)	    3,043 (0.1)	
onscoviddeath	    2,443 (0.0)	    1,483 (0.0)	       11 (0.0)	       93 (0.0)	        1 (0.0)	        2 (0.0)	        2 (0.0)	        3 (0.0)	       73 (0.0)	      108 (0.0)	       16 (0.0)	       22 (0.0)	       16 (0.0)	        5 (0.0)	        5 (0.0)	        4 (0.0)	       11 (0.0)	      588 (0.0)	
ons_noncoviddeath	   27,147 (0.2)	   17,205 (0.2)	      185 (0.2)	      885 (0.1)	       32 (0.1)	       17 (0.0)	       14 (0.0)	       33 (0.0)	      291 (0.1)	      202 (0.1)	       38 (0.1)	       70 (0.0)	      113 (0.1)	       73 (0.0)	       38 (0.1)	       28 (0.0)	       79 (0.0)	    7,844 (0.2)	
onsdeath	   29,590 (0.2)	   18,688 (0.2)	      196 (0.2)	      978 (0.1)	       33 (0.1)	       19 (0.1)	       16 (0.0)	       36 (0.1)	      364 (0.1)	      310 (0.1)	       54 (0.1)	       92 (0.0)	      129 (0.2)	       78 (0.0)	       43 (0.1)	       32 (0.0)	       90 (0.0)	    8,432 (0.2)	
any_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
basic_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
advanced_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
Care home population
N	   64,352 (100.0)	   43,775 (100.0)	      505 (100.0)	    2,592 (100.0)	       65 (100.0)	       41 (100.0)	       45 (100.0)	       71 (100.0)	      318 (100.0)	       95 (100.0)	       14 (100.0)	      179 (100.0)	      231 (100.0)	      186 (100.0)	      118 (100.0)	       58 (100.0)	      256 (100.0)	   15,803 (100.0)	

tested	    5,664 (8.8)	    4,018 (9.2)	       38 (7.5)	      153 (5.9)	       10 (15.4)	        5 (12.2)	        1 (2.2)	        7 (9.9)	       42 (13.2)	       10 (10.5)	        2 (14.3)	        9 (5.0)	       20 (8.7)	        7 (3.8)	       10 (8.5)	        4 (6.9)	       18 (7.0)	    1,310 (8.3)	
positivetest	    2,308 (3.6)	    1,679 (3.8)	       16 (3.2)	       52 (2.0)	        6 (9.2)	        0 (0.0)	        0 (0.0)	        1 (1.4)	       22 (6.9)	        4 (4.2)	        0 (0.0)	        3 (1.7)	       10 (4.3)	        2 (1.1)	        1 (0.8)	        1 (1.7)	        7 (2.7)	      504 (3.2)	
hes	      360 (0.6)	      256 (0.6)	        3 (0.6)	       10 (0.4)	        3 (4.6)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        4 (1.3)	        2 (2.1)	        0 (0.0)	        1 (0.6)	        4 (1.7)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        1 (0.4)	       76 (0.5)	
onscoviddeath	      361 (0.6)	      261 (0.6)	        3 (0.6)	        5 (0.2)	        1 (1.5)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        8 (2.5)	        0 (0.0)	        0 (0.0)	        1 (0.6)	        1 (0.4)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        1 (0.4)	       80 (0.5)	
ons_noncoviddeath	    3,322 (5.2)	    2,265 (5.2)	       17 (3.4)	      109 (4.2)	        0 (0.0)	        1 (2.4)	        0 (0.0)	        2 (2.8)	       10 (3.1)	        1 (1.1)	        0 (0.0)	        4 (2.2)	       11 (4.8)	        1 (0.5)	        0 (0.0)	        0 (0.0)	        4 (1.6)	      897 (5.7)	
onsdeath	    3,683 (5.7)	    2,526 (5.8)	       20 (4.0)	      114 (4.4)	        1 (1.5)	        1 (2.4)	        0 (0.0)	        2 (2.8)	       18 (5.7)	        1 (1.1)	        0 (0.0)	        5 (2.8)	       12 (5.2)	        1 (0.5)	        0 (0.0)	        0 (0.0)	        5 (2.0)	      977 (6.2)	
any_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
basic_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
advanced_resp_support_flag	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	        0 (0.0)	
