tested characteristics wave 2
	Category	Total	%	Tested	%
cons	==1	17708256	100.0	2647063	14.95

Age (years)	Mean (SD)	49.7	18.7	46.6	18.5	

male	==0	8864721	50.1	1481544	16.71
male	==1	8843535	49.9	1165519	13.18

eth5	==1	11375367	64.2	1734906	15.25
eth5	==2	1061984	6.0	165531	15.59
eth5	==3	356176	2.0	47687	13.39
eth5	==4	179787	1.0	26524	14.75
eth5	==5	335295	1.9	32753	9.77
eth5	==6	4399647	24.8	639662	14.54
eth5	>=.	0	0.0	0	   .

imd	==1	3611794	20.4	548429	15.18
imd	==2	3552346	20.1	525550	14.79
imd	==3	3616818	20.4	527604	14.59
imd	==4	3545015	20.0	529220	14.93
imd	==5	3382283	19.1	516260	15.26

region2	==1	4109434	23.2	651018	15.84
region2	==2	3096841	17.5	452846	14.62
region2	==3	1236424	7.0	161843	13.09
region2	==4	813962	4.6	130519	16.04
region2	==5	1563841	8.8	263038	16.82
region2	==6	1181331	6.7	156710	13.27
region2	==7	2473482	14.0	310281	12.54
region2	==8	711616	4.0	115797	16.27

Count of co-morbid conditions	Mean (SD)	0.6	0.9	0.7	0.9	

