parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"icu"
"2.eth5"	"Eth 5 categories"	3.659e-16	6.901e-08	-1.884e-07	.99999985	0		"crude"	"icu"
"3.eth5"	"Eth 5 categories"	3.779e-16	6.371e-08	-2.107e-07	.99999983	0		"crude"	"icu"
"4.eth5"	"Eth 5 categories"	3.639e-16	1.004e-07	-1.288e-07	.9999999	0		"crude"	"icu"
"5.eth5"	"Eth 5 categories"	3.607e-16	8.428e-08	-1.522e-07	.99999988	0		"crude"	"icu"
"6.eth5"	"Eth 5 categories"	3.467e-16	1.059e-08	-1.165e-06	.99999907	0		"crude"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"icu"
"2.eth5"	"Eth 5 categories"	1.765e-19	0			1.765e-19	1.765e-19	"model0"	"icu"
"3.eth5"	"Eth 5 categories"	1.052e-19	0			1.052e-19	1.052e-19	"model0"	"icu"
"4.eth5"	"Eth 5 categories"	5.168e-19	0			5.168e-19	5.168e-19	"model0"	"icu"
"5.eth5"	"Eth 5 categories"	2.720e-19	0			2.720e-19	2.720e-19	"model0"	"icu"
"6.eth5"	"Eth 5 categories"	4.256e-20	0			4.256e-20	4.256e-20	"model0"	"icu"
"0b.male"	"Male"	1	0			1	1	"model0"	"icu"
"1.male"	"Male"	.95926632	.69248494	-.05760784	.95406101	.23305861	3.9483281	"model0"	"icu"
"age1"	"Age spline 1"	1.0348169	.1400739	.25283832	.80039316	.79367729	1.3492208	"model0"	"icu"
"age2"	"Age spline 2"	.87484021	.35177681	-.33253586	.73948467	.39779299	1.9239791	"model0"	"icu"
"age3"	"Age spline 3"	1.0978681	1.1675091	.08780073	.93003506	.13656971	8.8256347	"model0"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"icu"
"2.eth5"	"Eth 5 categories"	1.891e-18	3.085e-09	-2.501e-08	.99999998	0		"model1"	"icu"
"3.eth5"	"Eth 5 categories"	2.261e-18	2.759e-09	-3.330e-08	.99999997	0		"model1"	"icu"
"4.eth5"	"Eth 5 categories"	6.303e-18	9.360e-09	-2.667e-08	.99999998	0		"model1"	"icu"
"5.eth5"	"Eth 5 categories"	2.192e-18	4.188e-09	-2.128e-08	.99999998	0		"model1"	"icu"
"6.eth5"	"Eth 5 categories"	1.169e-17	2.381e-09	-1.913e-07	.99999985	0		"model1"	"icu"
"0b.male"	"Male"	1	0			1	1	"model1"	"icu"
"1.male"	"Male"	.92765001	.67425225	-.10332516	.91770491	.22320177	3.8554109	"model1"	"icu"
"age1"	"Age spline 1"	1.0478837	.15168514	.32311815	.74660577	.78903891	1.3916426	"model1"	"icu"
"age2"	"Age spline 2"	.84245445	.35785409	-.40359118	.68651337	.36641799	1.9369396	"model1"	"icu"
"age3"	"Age spline 3"	1.1953607	1.3332827	.15998831	.87289028	.13430272	10.639301	"model1"	"icu"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"icu"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1338591	1.4379899	.09905717	.92109288	.09441541	13.616806	"model1"	"icu"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.0435463	1.3071565	.03402878	.9728542	.0895959	12.154449	"model1"	"icu"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.6521074	1.9740983	.42016315	.67436627	.15883275	17.184485	"model1"	"icu"
"5.imd"	"Index of Multiple Deprivation (IMD)"	9.241e-18	1.707e-09	-2.124e-07	.99999983	0		"model1"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"icu"
"2.eth5"	"Eth 5 categories"	2.068e-18	0			2.068e-18	2.068e-18	"model2"	"icu"
"3.eth5"	"Eth 5 categories"	4.162e-19	7.352e-10	-2.396e-08	.99999998	0		"model2"	"icu"
"4.eth5"	"Eth 5 categories"	2.249e-18	0			2.249e-18	2.249e-18	"model2"	"icu"
"5.eth5"	"Eth 5 categories"	4.523e-19	0			4.523e-19	4.523e-19	"model2"	"icu"
"6.eth5"	"Eth 5 categories"	2.572e-19	2.711e-10	-4.062e-08	.99999997	0		"model2"	"icu"
"0b.male"	"Male"	1	0			1	1	"model2"	"icu"
"1.male"	"Male"	.70396427	.61215911	-.4036711	.6864546	.12804296	3.8703081	"model2"	"icu"
"age1"	"Age spline 1"	.99768784	.16208272	-.01424878	.98863151	.72562106	1.3717643	"model2"	"icu"
"age2"	"Age spline 2"	.99779787	.48243867	-.00455956	.99636201	.38679756	2.5739578	"model2"	"icu"
"age3"	"Age spline 3"	.68337811	.87338253	-.29788415	.76579159	.05582053	8.3661983	"model2"	"icu"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"
