parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"icu"
"2.eth5"	"Eth 5 categories"	2.85281	.14949451	20.004838	4.998e-89	2.5743508	3.1613893	"crude"	"icu"
"3.eth5"	"Eth 5 categories"	1.6519372	.16747563	4.9510947	7.380e-07	1.354246	2.0150671	"crude"	"icu"
"4.eth5"	"Eth 5 categories"	1.4317269	.21894811	2.3467664	.01893712	1.0609366	1.9321059	"crude"	"icu"
"5.eth5"	"Eth 5 categories"	1.0544674	.13910334	.40203593	.68765758	.8142247	1.3655954	"crude"	"icu"
"6.eth5"	"Eth 5 categories"	.84029218	.03843615	-3.8041153	.00014231	.7682369	.91910576	"crude"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"icu"
"2.eth5"	"Eth 5 categories"	4.1247944	.22305883	26.203403	2.43e-151	3.7099786	4.5859912	"model0"	"icu"
"3.eth5"	"Eth 5 categories"	2.2198528	.2270618	7.7961215	6.384e-15	1.8165921	2.7126322	"model0"	"icu"
"4.eth5"	"Eth 5 categories"	2.4516116	.37632343	5.8419744	5.159e-09	1.8146458	3.3121612	"model0"	"icu"
"5.eth5"	"Eth 5 categories"	1.7394496	.23080568	4.1719288	.0000302	1.3411175	2.2560922	"model0"	"icu"
"6.eth5"	"Eth 5 categories"	.94544333	.04343353	-1.221191	.22201372	.86403519	1.0345216	"model0"	"icu"
"0b.male"	"Male"	1	0			1	1	"model0"	"icu"
"1.male"	"Male"	2.2799503	.08529846	22.028878	1.52e-107	2.1187508	2.4534143	"model0"	"icu"
"age1"	"Age spline 1"	1.0760953	.01089933	7.2407865	4.461e-13	1.0549436	1.097671	"model0"	"icu"
"age2"	"Age spline 2"	1.0794997	.0283305	2.9148511	.00355858	1.0253768	1.1364793	"model0"	"icu"
"age3"	"Age spline 3"	.66450774	.04400171	-6.1722637	6.732e-10	.58362789	.75659602	"model0"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"icu"
"2.eth5"	"Eth 5 categories"	3.6151725	.19726304	23.552315	1.19e-122	3.2485005	4.0232323	"model1"	"icu"
"3.eth5"	"Eth 5 categories"	1.8366561	.18886797	5.9120068	3.380e-09	1.5014008	2.2467722	"model1"	"icu"
"4.eth5"	"Eth 5 categories"	2.2082682	.33925289	5.156652	2.514e-07	1.6341165	2.9841498	"model1"	"icu"
"5.eth5"	"Eth 5 categories"	1.5987689	.21228999	3.5338292	.00040959	1.2324243	2.0740114	"model1"	"icu"
"6.eth5"	"Eth 5 categories"	.94692461	.04352514	-1.1864705	.23543656	.86534671	1.036193	"model1"	"icu"
"0b.male"	"Male"	1	0			1	1	"model1"	"icu"
"1.male"	"Male"	2.2683007	.08488134	21.887126	3.45e-106	2.1078907	2.4409178	"model1"	"icu"
"age1"	"Age spline 1"	1.077937	.01096141	7.3802728	1.580e-13	1.0566658	1.0996365	"model1"	"icu"
"age2"	"Age spline 2"	1.0797537	.02841966	2.9153286	.00355314	1.0254645	1.1369169	"model1"	"icu"
"age3"	"Age spline 3"	.66369107	.04404107	-6.1776998	6.504e-10	.58274979	.75587473	"model1"	"icu"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"icu"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1731908	.07645643	2.4509446	.01424819	1.0325144	1.3330337	"model1"	"icu"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.4658191	.09137669	6.1344978	8.543e-10	1.2972328	1.6563147	"model1"	"icu"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.7670763	.10719096	9.3855227	6.261e-21	1.5689943	1.9901657	"model1"	"icu"
"5.imd"	"Index of Multiple Deprivation (IMD)"	2.4204575	.14339318	14.921067	2.404e-50	2.1551148	2.7184696	"model1"	"icu"
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"icu"
"2.eth5"	"Eth 5 categories"	2.9275081	.16667576	18.866495	2.151e-79	2.618397	3.2731108	"model2"	"icu"
"3.eth5"	"Eth 5 categories"	1.7336072	.17983249	5.304037	1.133e-07	1.4146627	2.1244597	"model2"	"icu"
"4.eth5"	"Eth 5 categories"	2.2952659	.35318157	5.3995417	6.681e-08	1.6976778	3.1032068	"model2"	"icu"
"5.eth5"	"Eth 5 categories"	1.9727001	.26331361	5.0899713	3.581e-07	1.5186011	2.5625858	"model2"	"icu"
"6.eth5"	"Eth 5 categories"	1.0165993	.04774978	.35049953	.72596384	.92719004	1.1146302	"model2"	"icu"
"0b.male"	"Male"	1	0			1	1	"model2"	"icu"
"1.male"	"Male"	2.4091502	.09360552	22.630112	2.19e-113	2.2324984	2.59978	"model2"	"icu"
"age1"	"Age spline 1"	1.0710033	.01092357	6.7254905	1.750e-11	1.049806	1.0926285	"model2"	"icu"
"age2"	"Age spline 2"	1.0139976	.026811	.52572187	.59908146	.96278742	1.0679317	"model2"	"icu"
"age3"	"Age spline 3"	.7896671	.05287834	-3.5264915	.0004211	.69254051	.90041537	"model2"	"icu"
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"icu"
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.1048207	.07203951	1.5287716	.12632108	.9722758	1.2554348	"model2"	"icu"
"3.imd"	"Index of Multiple Deprivation (IMD)"	1.3053519	.08160443	4.2625214	.00002021	1.1548206	1.4755051	"model2"	"icu"
"4.imd"	"Index of Multiple Deprivation (IMD)"	1.4838922	.09065019	6.4604989	1.044e-10	1.3164455	1.6726374	"model2"	"icu"
"5.imd"	"Index of Multiple Deprivation (IMD)"	1.9405013	.11671219	11.022398	2.980e-28	1.724718	2.1832817	"model2"	"icu"
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"icu"
"2.bmicat_sa"	"BMI with SA categories"	1.3163657	.42435487	.85267224	.39384109	.69980329	2.4761511	"model2"	"icu"
"3.bmicat_sa"	"BMI with SA categories"	2.3874166	.76132488	2.728872	.00635514	1.2778738	4.4603449	"model2"	"icu"
"4.bmicat_sa"	"BMI with SA categories"	4.1199843	1.3140411	4.4391895	9.030e-06	2.2050102	7.6980464	"model2"	"icu"
"5.bmicat_sa"	"BMI with SA categories"	5.7825024	1.8533146	5.4752423	4.369e-08	3.0853356	10.837503	"model2"	"icu"
"6.bmicat_sa"	"BMI with SA categories"	8.0671277	2.5995585	6.4789959	9.234e-11	4.2897006	15.170884	"model2"	"icu"
"7.bmicat_sa"	"BMI with SA categories"	3.0328646	.9771443	3.4436944	.00057382	1.6129037	5.7029245	"model2"	"icu"
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model2"	"icu"
"1.hba1ccat"	"HbA1c category"	1.0675917	.0845491	.82586618	.40888001	.91409925	1.2468581	"model2"	"icu"
"2.hba1ccat"	"HbA1c category"	1.1387122	.12901434	1.1465111	.25158372	.91195652	1.42185	"model2"	"icu"
"3.hba1ccat"	"HbA1c category"	1.4303165	.14642061	3.4961217	.00047207	1.1702946	1.7481115	"model2"	"icu"
"4.hba1ccat"	"HbA1c category"	1.7446124	.1641832	5.9137187	3.345e-09	1.450753	2.0979948	"model2"	"icu"
"5.hba1ccat"	"HbA1c category"	1.009831	.05071272	.19480635	.84554455	.91517087	1.1142822	"model2"	"icu"
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0102045	.00114782	8.9355375	4.052e-19	1.0079573	1.0124567	"model2"	"icu"
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"icu"
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.1864496	.0459943	4.4101505	.00001033	1.0996421	1.2801099	"model2"	"icu"
