eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"positivetest"	"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"positivetest"	""
"positivetest"	"2.ethnicity_16"	"Eth 16 categories"	.86840008	.02258689	-5.4249892	5.796e-08	.82524005	.91381739	"crude"	"positivetest"	""
"positivetest"	"3.ethnicity_16"	"Eth 16 categories"	1.2433608	.00852049	31.78532	1.03e-221	1.2267726	1.2601733	"crude"	"positivetest"	""
"positivetest"	"4.ethnicity_16"	"Eth 16 categories"	1.191806	.03589914	5.8253739	5.698e-09	1.1234816	1.2642854	"crude"	"positivetest"	""
"positivetest"	"5.ethnicity_16"	"Eth 16 categories"	1.3398699	.04581057	8.5571758	1.157e-17	1.2530251	1.4327337	"crude"	"positivetest"	""
"positivetest"	"6.ethnicity_16"	"Eth 16 categories"	1.3338002	.04370459	8.7903197	1.491e-18	1.2508334	1.4222701	"crude"	"positivetest"	""
"positivetest"	"7.ethnicity_16"	"Eth 16 categories"	1.2422013	.03269556	8.2401078	1.721e-16	1.1797441	1.3079652	"crude"	"positivetest"	""
"positivetest"	"8.ethnicity_16"	"Eth 16 categories"	1.7700713	.01646999	61.368951	0	1.7380833	1.8026481	"crude"	"positivetest"	""
"positivetest"	"9.ethnicity_16"	"Eth 16 categories"	2.1085828	.01952646	80.559245	0	2.0706568	2.1472033	"crude"	"positivetest"	""
"positivetest"	"10.ethnicity_16"	"Eth 16 categories"	2.4839321	.04994458	45.249916	0	2.3879463	2.5837762	"crude"	"positivetest"	""
"positivetest"	"11.ethnicity_16"	"Eth 16 categories"	1.8329064	.02421121	45.869797	0	1.7860623	1.8809791	"crude"	"positivetest"	""
"positivetest"	"12.ethnicity_16"	"Eth 16 categories"	1.1349381	.02774454	5.1778928	2.244e-07	1.0818419	1.1906401	"crude"	"positivetest"	""
"positivetest"	"13.ethnicity_16"	"Eth 16 categories"	1.2982085	.01945007	17.419641	5.854e-68	1.2606413	1.3368951	"crude"	"positivetest"	""
"positivetest"	"14.ethnicity_16"	"Eth 16 categories"	1.2996222	.03203141	10.63321	2.088e-26	1.238334	1.3639437	"crude"	"positivetest"	""
"positivetest"	"15.ethnicity_16"	"Eth 16 categories"	.66685354	.02556761	-10.568018	4.193e-26	.61857851	.71889605	"crude"	"positivetest"	""
"positivetest"	"16.ethnicity_16"	"Eth 16 categories"	1.4678229	.02182636	25.809231	6.99e-147	1.4256614	1.5112312	"crude"	"positivetest"	""
"positivetest"	"17.ethnicity_16"	"Eth 16 categories"	1.1645041	.00446086	39.756566	0	1.1557937	1.1732802	"crude"	"positivetest"	""
"positivetest"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"positivetest"	""
"positivetest"	"2.stp"	"Sustainability and Transformation Partnership"	1.068484	.08474818	.83514783	.40363448	.91464777	1.2481942	"crude"	"positivetest"	""
"positivetest"	"3.stp"	"Sustainability and Transformation Partnership"	.95427005	.07586439	-.58878777	.55600365	.81658395	1.1151717	"crude"	"positivetest"	""
"positivetest"	"4.stp"	"Sustainability and Transformation Partnership"	1.3343739	.10707132	3.5949538	.00032445	1.1401878	1.561632	"crude"	"positivetest"	""
"positivetest"	"5.stp"	"Sustainability and Transformation Partnership"	1.0885726	.08790136	1.0509984	.29325934	.92923069	1.275238	"crude"	"positivetest"	""
"positivetest"	"6.stp"	"Sustainability and Transformation Partnership"	1.2008176	.09540346	2.3034046	.02125609	1.0276616	1.4031494	"crude"	"positivetest"	""
"positivetest"	"7.stp"	"Sustainability and Transformation Partnership"	.96022179	.07945612	-.49053931	.62375232	.81646319	1.1292927	"crude"	"positivetest"	""
"positivetest"	"8.stp"	"Sustainability and Transformation Partnership"	.95703454	.07615226	-.55190657	.58101237	.81883538	1.1185583	"crude"	"positivetest"	""
"positivetest"	"9.stp"	"Sustainability and Transformation Partnership"	.88268478	.07038774	-1.5648705	.11761329	.75496785	1.0320074	"crude"	"positivetest"	""
"positivetest"	"10.stp"	"Sustainability and Transformation Partnership"	1.0140945	.08066226	.1759601	.86032529	.8677065	1.1851791	"crude"	"positivetest"	""
"positivetest"	"11.stp"	"Sustainability and Transformation Partnership"	.98532386	.07836698	-.18589359	.85252821	.84310048	1.151539	"crude"	"positivetest"	""
"positivetest"	"12.stp"	"Sustainability and Transformation Partnership"	1.1214711	.08972427	1.4329116	.15188311	.95870939	1.3118652	"crude"	"positivetest"	""
"positivetest"	"13.stp"	"Sustainability and Transformation Partnership"	.90046234	.07183618	-1.3142502	.18876201	.7701215	1.052863	"crude"	"positivetest"	""
