eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"hes_30"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.eth5"	"Eth 5 categories"	1.0011152	.02778002	.04016812	.96795909	.94812157	1.0570709	"crude"	"hes"	""
"hes_30"	"3.eth5"	"Eth 5 categories"	.98992799	.06169142	-.1624394	.87095985	.87610769	1.1185354	"crude"	"hes"	""
"hes_30"	"4.eth5"	"Eth 5 categories"	.66651916	.06359809	-4.2516645	.00002122	.5528311	.80358681	"crude"	"hes"	""
"hes_30"	"5.eth5"	"Eth 5 categories"	.89994948	.06861215	-1.3826948	.16675847	.77503715	1.0449939	"crude"	"hes"	""
"hes_30"	"6.eth5"	"Eth 5 categories"	.78905934	.01593032	-11.734791	8.454e-32	.75844615	.82090817	"crude"	"hes"	""
"hes_30"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.stp"	"Sustainability and Transformation Partnership"	.89829247	.32679917	-.29483081	.76812313	.44030163	1.8326741	"crude"	"hes"	""
"hes_30"	"3.stp"	"Sustainability and Transformation Partnership"	1.007888	.3675632	.02154466	.98281118	.49316303	2.0598426	"crude"	"hes"	""
"hes_30"	"4.stp"	"Sustainability and Transformation Partnership"	1.2442008	.45607194	.59606751	.55113013	.60656259	2.552145	"crude"	"hes"	""
"hes_30"	"5.stp"	"Sustainability and Transformation Partnership"	.9540982	.3539141	-.12667429	.8991982	.46115567	1.9739611	"crude"	"hes"	""
"hes_30"	"6.stp"	"Sustainability and Transformation Partnership"	1.3014208	.47384437	.7235876	.46931896	.63752497	2.6566742	"crude"	"hes"	""
"hes_30"	"7.stp"	"Sustainability and Transformation Partnership"	1.8512202	.69203939	1.6473986	.09947615	.88972225	3.8517822	"crude"	"hes"	""
"hes_30"	"8.stp"	"Sustainability and Transformation Partnership"	1.266077	.46185017	.64673975	.51780039	.61937218	2.5880255	"crude"	"hes"	""
"hes_30"	"9.stp"	"Sustainability and Transformation Partnership"	1.140917	.41758843	.3601867	.71870752	.5568071	2.3377786	"crude"	"hes"	""
"hes_30"	"10.stp"	"Sustainability and Transformation Partnership"	1.1101872	.40497458	.28655213	.77445528	.5431184	2.2693312	"crude"	"hes"	""
"hes_30"	"11.stp"	"Sustainability and Transformation Partnership"	1.0366385	.3781686	.09863768	.92142595	.50711525	2.1190833	"crude"	"hes"	""
"hes_30"	"12.stp"	"Sustainability and Transformation Partnership"	1.5945495	.58329521	1.2755169	.20212635	.77850909	3.2659711	"crude"	"hes"	""
"hes_30"	"13.stp"	"Sustainability and Transformation Partnership"	1.1720262	.42872661	.43393716	.66433407	.57222678	2.4005261	"crude"	"hes"	""
"hes_30"	"14.stp"	"Sustainability and Transformation Partnership"	1.059561	.38983894	.1572458	.87505113	.51516655	2.179236	"crude"	"hes"	""
"hes_30"	"15.stp"	"Sustainability and Transformation Partnership"	.7374846	.27293069	-.8228151	.41061315	.35705699	1.5232401	"crude"	"hes"	""
"hes_30"	"16.stp"	"Sustainability and Transformation Partnership"	1.0364082	.38210405	.0969973	.92272854	.50316331	2.1347779	"crude"	"hes"	""
"hes_30"	"17.stp"	"Sustainability and Transformation Partnership"	1.1152013	.41254584	.29474518	.76818855	.54009322	2.3027024	"crude"	"hes"	""
"hes_30"	"18.stp"	"Sustainability and Transformation Partnership"	.94327839	.3461917	-.15910731	.87358433	.45945314	1.9365938	"crude"	"hes"	""
"hes_30"	"19.stp"	"Sustainability and Transformation Partnership"	.53464087	.19820125	-1.6890445	.0912109	.25852706	1.1056516	"crude"	"hes"	""
"hes_30"	"20.stp"	"Sustainability and Transformation Partnership"	.66143586	.24309037	-1.1246821	.26072375	.32185098	1.3593166	"crude"	"hes"	""
"hes_30"	"21.stp"	"Sustainability and Transformation Partnership"	.77054462	.28215714	-.71183172	.47656899	.37592896	1.5793915	"crude"	"hes"	""
"hes_30"	"22.stp"	"Sustainability and Transformation Partnership"	.83151716	.32433005	-.47302955	.6361921	.38713581	1.7859902	"crude"	"hes"	""
"hes_30"	"23.stp"	"Sustainability and Transformation Partnership"	.8261806	.30578064	-.51590081	.60592369	.39997584	1.706539	"crude"	"hes"	""
"hes_30"	"24.stp"	"Sustainability and Transformation Partnership"	.44868678	.23667874	-1.5193217	.12868154	.1595663	1.2616689	"crude"	"hes"	""
"hes_30"	"25.stp"	"Sustainability and Transformation Partnership"	.56973319	.23498537	-1.3640192	.17256152	.25386046	1.2786391	"crude"	"hes"	""
"hes_30"	"26.stp"	"Sustainability and Transformation Partnership"	1.356922	.49880643	.83029842	.40637008	.66016422	2.7890594	"crude"	"hes"	""
"hes_30"	"27.stp"	"Sustainability and Transformation Partnership"	.8650902	.31882915	-.39322055	.69415659	.42009829	1.7814427	"crude"	"hes"	""
"hes_30"	"28.stp"	"Sustainability and Transformation Partnership"	.99542425	.36624778	-.01246497	.99005465	.48397674	2.0473493	"crude"	"hes"	""
"hes_30"	"29.stp"	"Sustainability and Transformation Partnership"	.83279485	.30911251	-.49294273	.62205305	.40234019	1.7237832	"crude"	"hes"	""
"hes_30"	"30.stp"	"Sustainability and Transformation Partnership"	1.0833532	.40172741	.21590361	.82906288	.52375574	2.2408426	"crude"	"hes"	""
"hes_30"	"31.stp"	"Sustainability and Transformation Partnership"	1.1772581	.62743309	.30619122	.75945906	.41420387	3.3460254	"crude"	"hes"	""
"hes_30"	"32.stp"	"Sustainability and Transformation Partnership"	1.0708957	.38982466	.18816506	.85074726	.52468056	2.1857442	"crude"	"hes"	""
"hes_30"	"_cons"	"Constant"	.0575641	.02091115	-7.8588315	3.877e-15	.02824477	.11731819	"crude"	"hes"	""
"hes_30"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"hes"	""
"hes_30"	"2.eth5"	"Eth 5 categories"	1.6211015	.04923167	15.907721	5.602e-57	1.5274248	1.7205234	"model0"	"hes"	""
"hes_30"	"3.eth5"	"Eth 5 categories"	1.7792669	.11959718	8.572243	1.015e-17	1.5596451	2.0298148	"model0"	"hes"	""
"hes_30"	"4.eth5"	"Eth 5 categories"	1.5791405	.15817095	4.5613861	5.082e-06	1.2976636	1.9216726	"model0"	"hes"	""
