parm	label	estimate	stderr	z	p	min95	max95	model	outcome
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"icu"
"2.ethnicity_16"	"Eth 16 categories"	.77672375	.23525172	-.83423491	.40414862	.42899997	1.4062933	"crude"	"icu"
"3.ethnicity_16"	"Eth 16 categories"	.80702242	.06254472	-2.7664799	.00566651	.69329325	.93940793	"crude"	"icu"
"4.ethnicity_16"	"Eth 16 categories"	1.3122868	.41671739	.8558363	.39208833	.70425389	2.4452782	"crude"	"icu"
"5.ethnicity_16"	"Eth 16 categories"	1.762105	.53341085	1.8714442	.06128354	.97355979	3.189341	"crude"	"icu"
"6.ethnicity_16"	"Eth 16 categories"	2.0470839	.57039364	2.571144	.01013632	1.1856575	3.5343701	"crude"	"icu"
"7.ethnicity_16"	"Eth 16 categories"	.86101939	.2734742	-.4711283	.63754912	.46201603	1.6046075	"crude"	"icu"
"8.ethnicity_16"	"Eth 16 categories"	2.1353856	.18169263	8.9161813	4.826e-19	1.8073843	2.5229121	"crude"	"icu"
"9.ethnicity_16"	"Eth 16 categories"	3.4688645	.26495909	16.284281	1.276e-59	2.9865569	4.0290614	"crude"	"icu"
"10.ethnicity_16"	"Eth 16 categories"	3.4332081	.51340916	8.2484806	1.604e-16	2.5610005	4.6024661	"crude"	"icu"
"11.ethnicity_16"	"Eth 16 categories"	2.6270824	.26818212	9.4615939	3.033e-21	2.1507006	3.2089832	"crude"	"icu"
"12.ethnicity_16"	"Eth 16 categories"	2.0235498	.35991857	3.9628568	.00007406	1.4279565	2.867562	"crude"	"icu"
"13.ethnicity_16"	"Eth 16 categories"	1.388799	.19884933	2.2938784	.02179749	1.0489715	1.8387179	"crude"	"icu"
"14.ethnicity_16"	"Eth 16 categories"	1.6105734	.34704343	2.2117796	.0269819	1.0557599	2.4569475	"crude"	"icu"
"15.ethnicity_16"	"Eth 16 categories"	.4344121	.15409406	-2.3504874	.01874884	.21675288	.87064067	"crude"	"icu"
"16.ethnicity_16"	"Eth 16 categories"	1.2727805	.18070491	1.6989	.08933803	.96361355	1.6811409	"crude"	"icu"
"17.ethnicity_16"	"Eth 16 categories"	.81984527	.03804457	-4.2806052	.00001864	.74856972	.89790738	"crude"	"icu"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"icu"
"2.ethnicity_16"	"Eth 16 categories"	.7570782	.22934217	-.91865496	.35827607	.41810535	1.3708684	"model0"	"icu"
"3.ethnicity_16"	"Eth 16 categories"	1.274832	.09960064	3.1078869	.0018843	1.0938301	1.4857851	"model0"	"icu"
"4.ethnicity_16"	"Eth 16 categories"	2.279305	.7242353	2.592876	.00951771	1.2227519	4.2488026	"model0"	"icu"
"5.ethnicity_16"	"Eth 16 categories"	2.951637	.89452583	3.5714268	.00035504	1.62966	5.3459989	"model0"	"icu"
"6.ethnicity_16"	"Eth 16 categories"	3.8741956	1.0808318	4.8545669	1.207e-06	2.2423914	6.6934754	"model0"	"icu"
"7.ethnicity_16"	"Eth 16 categories"	1.6501877	.52470305	1.5752927	.11518889	.88487202	3.0774161	"model0"	"icu"
"8.ethnicity_16"	"Eth 16 categories"	2.9102777	.25072077	12.399849	2.618e-35	2.4581213	3.4456054	"model0"	"icu"
"9.ethnicity_16"	"Eth 16 categories"	5.7619722	.44495854	22.678125	7.37e-114	4.9526605	6.7035331	"model0"	"icu"
"10.ethnicity_16"	"Eth 16 categories"	6.3983356	.96171106	12.348359	4.972e-35	4.7656917	8.5902953	"model0"	"icu"
"11.ethnicity_16"	"Eth 16 categories"	4.2201907	.43669094	13.915034	5.134e-44	3.445503	5.1690592	"model0"	"icu"
"12.ethnicity_16"	"Eth 16 categories"	2.1420685	.3812122	4.2804707	.00001865	1.5112965	3.0361067	"model0"	"icu"
"13.ethnicity_16"	"Eth 16 categories"	2.2977722	.33144006	5.7675851	8.042e-09	1.7319134	3.048511	"model0"	"icu"
"14.ethnicity_16"	"Eth 16 categories"	2.3804634	.51370378	4.0189785	.00005845	1.559453	3.6337138	"model0"	"icu"
"15.ethnicity_16"	"Eth 16 categories"	.85740907	.30419721	-.43361325	.66456931	.42775314	1.7186322	"model0"	"icu"
"16.ethnicity_16"	"Eth 16 categories"	2.1201332	.30308897	5.2566588	1.467e-07	1.6020552	2.8057489	"model0"	"icu"
"17.ethnicity_16"	"Eth 16 categories"	.96420036	.04494879	-.78202433	.43420027	.88000724	1.0564485	"model0"	"icu"
"0b.male"	"Male"	1	0			1	1	"model0"	"icu"
"1.male"	"Male"	2.2773458	.08521003	21.996001	3.15e-107	2.116314	2.4506307	"model0"	"icu"
"age1"	"Age spline 1"	1.0751458	.01087414	7.1638805	7.842e-13	1.0540427	1.0966714	"model0"	"icu"
"age2"	"Age spline 2"	1.0858556	.02848723	3.1396521	.00169149	1.0314328	1.1431499	"model0"	"icu"
"age3"	"Age spline 3"	.6537537	.04328767	-6.4189498	1.372e-10	.57418608	.74434736	"model0"	"icu"
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model1"	"icu"
"2.ethnicity_16"	"Eth 16 categories"	.71648724	.21709056	-1.1003387	.27118457	.3956402	1.2975273	"model1"	"icu"
"3.ethnicity_16"	"Eth 16 categories"	1.1802621	.09231176	2.1190424	.03408688	1.0125197	1.3757941	"model1"	"icu"
"4.ethnicity_16"	"Eth 16 categories"	1.9875732	.63178079	2.1610228	.03069358	1.0659961	3.7058742	"model1"	"icu"
"5.ethnicity_16"	"Eth 16 categories"	2.5291466	.76689745	3.0600564	.00221295	1.3959486	4.5822478	"model1"	"icu"
"6.ethnicity_16"	"Eth 16 categories"	3.6856083	1.0283819	4.6749549	2.940e-06	2.1330524	6.3682022	"model1"	"icu"
"7.ethnicity_16"	"Eth 16 categories"	1.5045858	.47849268	1.2845544	.19894806	.80670623	2.8061993	"model1"	"icu"
