parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0279144	.0027344	10.349777	4.195e-25	1.022569	1.0332877	"crude"	"tested"	""
"3.eth5"	"Eth 5 categories"	.85959138	.00401742	-32.372654	6.66e-230	.85175333	.86750155	"crude"	"tested"	""
"4.eth5"	"Eth 5 categories"	.97617287	.00603808	-3.898752	.00009669	.9644099	.98807932	"crude"	"tested"	""
"5.eth5"	"Eth 5 categories"	.64340901	.00360039	-78.804539	0	.63639093	.65050448	"crude"	"tested"	""
"6.eth5"	"Eth 5 categories"	.9451177	.00139127	-38.344738	0	.94239478	.94784847	"crude"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"tested"	""
"2.eth5"	"Eth 5 categories"	.95869186	.00255688	-15.817324	2.363e-56	.95369355	.96371637	"model0"	"tested"	""
"3.eth5"	"Eth 5 categories"	.80749365	.00377509	-45.736236	0	.8001284	.81492669	"model0"	"tested"	""
"4.eth5"	"Eth 5 categories"	.87193787	.0054	-22.127378	1.72e-108	.86141805	.88258618	"model0"	"tested"	""
"5.eth5"	"Eth 5 categories"	.58152388	.00325776	-96.767571	0	.5751737	.58794416	"model0"	"tested"	""
"6.eth5"	"Eth 5 categories"	.92204683	.00137227	-54.531902	0	.91936114	.92474036	"model0"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	""
"1.male"	"Male"	.76371934	.00094821	-217.10928	0	.76186315	.76558005	"model0"	"tested"	""
"age1"	"Age spline 1"	.99148448	.00015663	-54.134053	0	.99117753	.99179152	"model0"	"tested"	""
"age2"	"Age spline 2"	.983447	.00054331	-30.213125	1.59e-200	.9823827	.98451245	"model0"	"tested"	""
"age3"	"Age spline 3"	1.0601471	.001673	37.011868	7.38e-300	1.0568732	1.0634312	"model0"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"tested"	""
"2.eth5"	"Eth 5 categories"	.96757061	.00259446	-12.294587	9.685e-35	.96249891	.97266904	"model1"	"tested"	""
"3.eth5"	"Eth 5 categories"	.81794712	.00383729	-42.835561	0	.81046063	.82550276	"model1"	"tested"	""
"4.eth5"	"Eth 5 categories"	.87697987	.00543339	-21.18794	1.234e-99	.86639503	.88769403	"model1"	"tested"	""
"5.eth5"	"Eth 5 categories"	.5840885	.00327317	-95.951682	0	.57770831	.59053915	"model1"	"tested"	""
"6.eth5"	"Eth 5 categories"	.9219041	.00137223	-54.62911	0	.9192185	.92459755	"model1"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"tested"	""
"1.male"	"Male"	.76400873	.0009486	-216.79708	0	.76215177	.7658702	"model1"	"tested"	""
"age1"	"Age spline 1"	.99144109	.0001566	-54.420942	0	.99113421	.99174806	"model1"	"tested"	""
"age2"	"Age spline 2"	.98308242	.00054319	-30.880122	2.21e-209	.98201837	.98414762	"model1"	"tested"	""
"age3"	"Age spline 3"	1.061353	.00167528	37.723713	0	1.0580746	1.0646415	"model1"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.98330781	.00190752	-8.677277	4.054e-18	.97957624	.9870536	"model1"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.96588809	.00188641	-17.770971	1.186e-70	.96219785	.96959247	"model1"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.95872722	.00189028	-21.377339	2.17e-101	.95502949	.96243926	"model1"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.93469861	.00190862	-33.071659	7.60e-240	.93096526	.93844694	"model1"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model2"	"tested"	""
"2.eth5"	"Eth 5 categories"	.95746632	.00262211	-15.871188	1.003e-56	.95234084	.96261938	"model2"	"tested"	""
"3.eth5"	"Eth 5 categories"	.82899131	.00390989	-39.764182	0	.82136337	.83669008	"model2"	"tested"	""
"4.eth5"	"Eth 5 categories"	.89199326	.0055292	-18.438817	6.413e-76	.88122179	.90289639	"model2"	"tested"	""
"5.eth5"	"Eth 5 categories"	.63636067	.00357545	-80.445308	0	.62939136	.64340716	"model2"	"tested"	""
"6.eth5"	"Eth 5 categories"	.99268422	.00151651	-4.8064115	1.537e-06	.98971637	.99566097	"model2"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"tested"	""
"1.male"	"Male"	.84318641	.00111748	-128.70002	0	.84099903	.84537948	"model2"	"tested"	""
"age1"	"Age spline 1"	.9864437	.00016113	-83.559043	0	.98612794	.98675956	"model2"	"tested"	""
"age2"	"Age spline 2"	.97815028	.00055605	-38.861739	0	.97706104	.97924073	"model2"	"tested"	""
"age3"	"Age spline 3"	1.0671103	.0017355	39.938687	0	1.0637142	1.0705173	"model2"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.97588383	.00189458	-12.574283	2.924e-36	.97217757	.97960422	"model2"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.95109851	.0018635	-25.589453	2.00e-144	.94745313	.95475792	"model2"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.93714795	.00186327	-32.649135	8.24e-234	.93350312	.94080702	"model2"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.9070668	.00188509	-46.933856	0	.90337961	.91076905	"model2"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"tested"	""
"2.bmicat_sa"	"BMI with SA categories"	1.1037609	.00535701	20.341011	5.577e-92	1.0933111	1.1143105	"model2"	"tested"	""
"3.bmicat_sa"	"BMI with SA categories"	1.1819012	.00577369	34.211138	1.65e-256	1.170639	1.1932718	"model2"	"tested"	""
"4.bmicat_sa"	"BMI with SA categories"	1.2233222	.00613468	40.195301	0	1.2113574	1.2354053	"model2"	"tested"	""
"5.bmicat_sa"	"BMI with SA categories"	1.2347449	.00662777	39.283793	0	1.2218229	1.2478037	"model2"	"tested"	""
"6.bmicat_sa"	"BMI with SA categories"	1.2181515	.00714681	33.635072	5.15e-248	1.2042242	1.2322398	"model2"	"tested"	""
"7.bmicat_sa"	"BMI with SA categories"	1.035365	.00513332	7.0097191	2.388e-12	1.0253526	1.0454752	"model2"	"tested"	""
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model2"	"tested"	""
"1.hba1ccat"	"HbA1c category"	.99185682	.00491524	-1.649956	.09895194	.98226976	1.0015375	"model2"	"tested"	""
"2.hba1ccat"	"HbA1c category"	1.0055374	.00776463	.71512525	.47453166	.99043357	1.0208715	"model2"	"tested"	""
"3.hba1ccat"	"HbA1c category"	1.0191589	.00757305	2.5539632	.01065045	1.0044236	1.0341104	"model2"	"tested"	""
"4.hba1ccat"	"HbA1c category"	1.0396761	.00721804	5.6044212	2.090e-08	1.0256248	1.0539198	"model2"	"tested"	""
"5.hba1ccat"	"HbA1c category"	.86243341	.00131717	-96.903455	0	.85985568	.86501888	"model2"	"tested"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0072215	.00004349	166.63944	0	1.0071362	1.0073067	"model2"	"tested"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model2"	"tested"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.0983529	.00160561	64.174025	0	1.0952105	1.1015043	"model2"	"tested"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.95077648	.00173516	-27.6584	2.21e-168	.94738171	.95418341	"model2"	"tested"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model2"	"tested"	""
"1.hypertension"	"Diagnosed hypertension"	.96796051	.00192415	-16.381572	2.590e-60	.96419657	.97173913	"model2"	"tested"	""
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"model2"	"tested"	""
"2.bp_cat"	"Blood pressure four levels non-missing"	.97187741	.00229224	-12.094449	1.130e-33	.96739507	.97638052	"model2"	"tested"	""
"3.bp_cat"	"Blood pressure four levels non-missing"	.9616983	.00188507	-19.924287	2.506e-88	.95801072	.96540007	"model2"	"tested"	""
"4.bp_cat"	"Blood pressure four levels non-missing"	.95491567	.00217286	-20.273908	2.186e-91	.95066642	.95918391	"model2"	"tested"	""
"5.bp_cat"	"Blood pressure four levels non-missing"	.75899242	.00155444	-134.64834	0	.75595188	.76204518	"model2"	"tested"	""
"0b.asthma"	"Asthma category"	1	0			1	1	"model2"	"tested"	""
"1.asthma"	"Asthma category"	1.1150495	.00179773	67.545035	0	1.1115316	1.1185786	"model2"	"tested"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model2"	"tested"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.1571292	.00369445	45.710088	0	1.1499108	1.1643929	"model2"	"tested"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model2"	"tested"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2159845	.00324683	73.237818	0	1.2096375	1.2223649	"model2"	"tested"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model2"	"tested"	""
"1.dm_type"	"Diabetes Type"	.96599546	.00856998	-3.8996268	.00009634	.9493438	.98293919	"model2"	"tested"	""
"2.dm_type"	"Diabetes Type"	.96954538	.00418319	-7.1682312	7.597e-13	.96138104	.97777905	"model2"	"tested"	""
"3.dm_type"	"Diabetes Type"	1.0097238	.00430285	2.270813	.0231583	1.0013255	1.0181926	"model2"	"tested"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model2"	"tested"	""
"1.cancer"	"Cancer"	1.3590804	.00364371	114.43758	0	1.3519576	1.3662407	"model2"	"tested"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model2"	"tested"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.2049366	.00889155	25.263617	8.03e-141	1.1876349	1.2224903	"model2"	"tested"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model2"	"tested"	""
"1.stroke"	"Stroke"	1.1976449	.00521358	41.430968	0	1.1874699	1.207907	"model2"	"tested"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model2"	"tested"	""
"1.dementia"	"Dementia"	1.6096418	.02077618	36.879168	9.97e-298	1.569432	1.6508818	"model2"	"tested"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model2"	"tested"	""
"1.other_neuro"	"Neurological disease"	1.0599823	.00657988	9.3841095	6.345e-21	1.0471641	1.0729574	"model2"	"tested"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model2"	"tested"	""
"1.egfr60"	"CKD defined by egfr<60"	1.0998511	.00359663	29.104486	3.15e-186	1.0928244	1.106923	"model2"	"tested"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model2"	"tested"	""
"1.esrf"	"end stage renal failure"	1.3173902	.01928491	18.830372	4.258e-79	1.2801295	1.3557353	"model2"	"tested"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model2"	"tested"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.0625447	.00898776	7.1720956	7.386e-13	1.0450743	1.0803073	"model2"	"tested"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model2"	"tested"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.0795992	.00293208	28.200558	5.76e-175	1.0738676	1.0853612	"model2"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model3"	"tested"	""
"2.eth5"	"Eth 5 categories"	.95831805	.00265731	-15.354234	3.318e-53	.95312395	.96354046	"model3"	"tested"	""
"3.eth5"	"Eth 5 categories"	.83052509	.00392114	-39.331958	0	.82287525	.83824606	"model3"	"tested"	""
"4.eth5"	"Eth 5 categories"	.89510251	.00554916	-17.875257	1.838e-71	.88429217	.906045	"model3"	"tested"	""
"5.eth5"	"Eth 5 categories"	.64350492	.00361803	-78.405541	0	.63645264	.65063534	"model3"	"tested"	""
"6.eth5"	"Eth 5 categories"	.98838342	.00151279	-7.6341431	2.273e-14	.98542286	.99135289	"model3"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model3"	"tested"	""
"1.male"	"Male"	.84463339	.00111976	-127.36548	0	.84244155	.84683093	"model3"	"tested"	""
"age1"	"Age spline 1"	.98566019	.00016091	-88.473303	0	.98534486	.98597562	"model3"	"tested"	""
"age2"	"Age spline 2"	.98277349	.00055988	-30.501928	2.46e-204	.98167676	.98387144	"model3"	"tested"	""
"age3"	"Age spline 3"	1.0564344	.00171936	33.732212	1.95e-249	1.0530699	1.0598096	"model3"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model3"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.97967673	.00190241	-10.573609	3.950e-26	.97595517	.98341249	"model3"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.9561089	.0018743	-22.895758	5.12e-116	.95244239	.95978953	"model3"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.94349478	.00187759	-29.227748	8.61e-188	.93982193	.94718198	"model3"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.91418729	.00190347	-43.090158	0	.91046416	.91792564	"model3"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model3"	"tested"	""
"2.bmicat_sa"	"BMI with SA categories"	1.1016712	.00534708	19.949748	1.506e-88	1.0912408	1.1122013	"model3"	"tested"	""
"3.bmicat_sa"	"BMI with SA categories"	1.1758918	.00574481	33.16489	3.46e-241	1.1646859	1.1872055	"model3"	"tested"	""
"4.bmicat_sa"	"BMI with SA categories"	1.2163385	.0061002	39.05018	0	1.2044409	1.2283537	"model3"	"tested"	""
"5.bmicat_sa"	"BMI with SA categories"	1.2284395	.00659427	38.327957	0	1.2155827	1.2414322	"model3"	"tested"	""
"6.bmicat_sa"	"BMI with SA categories"	1.2133073	.00711842	32.955767	3.50e-238	1.1994353	1.2273396	"model3"	"tested"	""
"7.bmicat_sa"	"BMI with SA categories"	1.0281937	.00509883	5.6066756	2.062e-08	1.0182486	1.0382359	"model3"	"tested"	""
"0b.hba1ccat"	"HbA1c category"	1	0			1	1	"model3"	"tested"	""
"1.hba1ccat"	"HbA1c category"	.99053627	.00490943	-1.9185116	.05504618	.98096054	1.0002055	"model3"	"tested"	""
"2.hba1ccat"	"HbA1c category"	1.0046876	.0077584	.60561548	.54477012	.98959596	1.0200095	"model3"	"tested"	""
"3.hba1ccat"	"HbA1c category"	1.0178168	.00756362	2.3764507	.0174801	1.0030998	1.0327497	"model3"	"tested"	""
"4.hba1ccat"	"HbA1c category"	1.0406277	.0072257	5.7353678	9.730e-09	1.0265615	1.0548866	"model3"	"tested"	""
"5.hba1ccat"	"HbA1c category"	.86316823	.00131803	-96.364704	0	.8605888	.86575538	"model3"	"tested"	""
"gp_consult_count"	"Number of GP consultations in the 12 months prior to baseline"	1.0073191	.00004388	167.41137	0	1.0072331	1.0074051	"model3"	"tested"	""
"1b.smoke_nomiss"	"Smoking status (missing set to non)"	1	0			1	1	"model3"	"tested"	""
"2.smoke_nomiss"	"Smoking status (missing set to non)"	1.098362	.00160579	64.173032	0	1.0952193	1.1015138	"model3"	"tested"	""
"3.smoke_nomiss"	"Smoking status (missing set to non)"	.95618791	.00174633	-24.530244	7.03e-133	.95277128	.9596168	"model3"	"tested"	""
"0b.hypertension"	"Diagnosed hypertension"	1	0			1	1	"model3"	"tested"	""
"1.hypertension"	"Diagnosed hypertension"	.96876958	.00192631	-15.956746	2.557e-57	.96500144	.97255244	"model3"	"tested"	""
"1b.bp_cat"	"Blood pressure four levels non-missing"	1	0			1	1	"model3"	"tested"	""
"2.bp_cat"	"Blood pressure four levels non-missing"	.9732445	.00229554	-11.498114	1.348e-30	.96875572	.97775409	"model3"	"tested"	""
"3.bp_cat"	"Blood pressure four levels non-missing"	.96375376	.00188935	-18.832533	4.087e-79	.9600578	.96746394	"model3"	"tested"	""
"4.bp_cat"	"Blood pressure four levels non-missing"	.95747762	.00217922	-19.091788	2.955e-81	.95321594	.96175835	"model3"	"tested"	""
"5.bp_cat"	"Blood pressure four levels non-missing"	.762869	.00156306	-132.10281	0	.7598116	.76593871	"model3"	"tested"	""
"0b.asthma"	"Asthma category"	1	0			1	1	"model3"	"tested"	""
"1.asthma"	"Asthma category"	1.1129302	.00179457	66.355343	0	1.1094185	1.1164531	"model3"	"tested"	""
"0b.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1	0			1	1	"model3"	"tested"	""
"1.chronic_respiratory_disease"	"Chronic Respiratory Diseases"	1.1592016	.00370178	46.26169	0	1.1519689	1.1664797	"model3"	"tested"	""
"0b.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1	0			1	1	"model3"	"tested"	""
"1.chronic_cardiac_disease"	"Chronic Cardiac Diseases"	1.2153887	.00324617	73.03322	0	1.2090429	1.2217678	"model3"	"tested"	""
"0b.dm_type"	"Diabetes Type"	1	0			1	1	"model3"	"tested"	""
"1.dm_type"	"Diabetes Type"	.9681287	.00858979	-3.6506037	.00026162	.95143855	.98511162	"model3"	"tested"	""
"2.dm_type"	"Diabetes Type"	.96920241	.0041828	-7.2483519	4.219e-13	.96103885	.97743531	"model3"	"tested"	""
"3.dm_type"	"Diabetes Type"	1.0066976	.0042909	1.56609	.11732756	.99832258	1.0151428	"model3"	"tested"	""
"0b.cancer"	"Cancer"	1	0			1	1	"model3"	"tested"	""
"1.cancer"	"Cancer"	1.3606561	.00364814	114.86337	0	1.3535246	1.3678251	"model3"	"tested"	""
"0b.chronic_liver_disease"	"Chronic liver disease"	1	0			1	1	"model3"	"tested"	""
"1.chronic_liver_disease"	"Chronic liver disease"	1.2145916	.00896364	26.342674	6.23e-153	1.1971496	1.2322877	"model3"	"tested"	""
"0b.stroke"	"Stroke"	1	0			1	1	"model3"	"tested"	""
"1.stroke"	"Stroke"	1.1985949	.00521857	41.606295	0	1.1884102	1.2088669	"model3"	"tested"	""
"0b.dementia"	"Dementia"	1	0			1	1	"model3"	"tested"	""
"1.dementia"	"Dementia"	1.6071487	.02074643	36.75477	9.76e-296	1.5669966	1.6483298	"model3"	"tested"	""
"0b.other_neuro"	"Neurological disease"	1	0			1	1	"model3"	"tested"	""
"1.other_neuro"	"Neurological disease"	1.0653584	.0066136	10.198551	2.013e-24	1.0524745	1.0784	"model3"	"tested"	""
"0b.egfr60"	"CKD defined by egfr<60"	1	0			1	1	"model3"	"tested"	""
"1.egfr60"	"CKD defined by egfr<60"	1.0985528	.00359467	28.725061	1.86e-181	1.0915299	1.1056208	"model3"	"tested"	""
"0b.esrf"	"end stage renal failure"	1	0			1	1	"model3"	"tested"	""
"1.esrf"	"end stage renal failure"	1.3170946	.01928238	18.813291	5.877e-79	1.2798389	1.3554348	"model3"	"tested"	""
"0b.immunosuppressed"	"Immunosuppressed (perm or temp)"	1	0			1	1	"model3"	"tested"	""
"1.immunosuppressed"	"Immunosuppressed (perm or temp)"	1.0672968	.00902958	7.6982636	1.379e-14	1.0497451	1.085142	"model3"	"tested"	""
"0b.ra_sle_psoriasis"	"Autoimmune disease"	1	0			1	1	"model3"	"tested"	""
"1.ra_sle_psoriasis"	"Autoimmune disease"	1.0785661	.00292921	27.848701	1.12e-170	1.0728402	1.0843225	"model3"	"tested"	""
"1b.hh_total_cat"	"Number of people in household"	1	0			1	1	"model3"	"tested"	""
"2.hh_total_cat"	"Number of people in household"	1.1508164	.00170845	94.621862	0	1.1474727	1.1541698	"model3"	"tested"	""
"3.hh_total_cat"	"Number of people in household"	1.0214299	.00291373	7.4330502	1.061e-13	1.0157351	1.0271567	"model3"	"tested"	""
"4.hh_total_cat"	"Number of people in household"	.81008015	.00609128	-28.010669	1.20e-172	.79822901	.82210725	"model3"	"tested"	""
"9.hh_total_cat"	"Number of people in household"	1.0595687	.00211906	28.932066	4.72e-184	1.0554235	1.0637301	"model3"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"positivetest"	""
"2.eth5"	"Eth 5 categories"	1.674032	.00842059	102.42983	0	1.657609	1.6906176	"crude"	"positivetest"	""
"3.eth5"	"Eth 5 categories"	1.0085669	.01025292	.83912909	.40139687	.98867045	1.0288638	"crude"	"positivetest"	""
"4.eth5"	"Eth 5 categories"	1.1519087	.01559866	10.443416	1.571e-25	1.121738	1.1828908	"crude"	"positivetest"	""
"5.eth5"	"Eth 5 categories"	.785226	.00954825	-19.883742	5.628e-88	.76673302	.804165	"crude"	"positivetest"	""
"6.eth5"	"Eth 5 categories"	1.0609823	.00357532	17.566268	4.466e-69	1.0539979	1.068013	"crude"	"positivetest"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"positivetest"	""
"2.eth5"	"Eth 5 categories"	1.513427	.00763707	82.11645	0	1.4985324	1.5284697	"model0"	"positivetest"	""
"3.eth5"	"Eth 5 categories"	.91744405	.0093274	-8.4750699	2.349e-17	.89934362	.93590877	"model0"	"positivetest"	""
"4.eth5"	"Eth 5 categories"	.98551047	.01336115	-1.0765571	.28167817	.95966796	1.0120489	"model0"	"positivetest"	""
"5.eth5"	"Eth 5 categories"	.68313421	.00831552	-31.305042	3.98e-215	.66702897	.69962831	"model0"	"positivetest"	""
"6.eth5"	"Eth 5 categories"	1.0080922	.00344067	2.3614098	.0182056	1.0013711	1.0148584	"model0"	"positivetest"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"positivetest"	""
"1.male"	"Male"	.81348587	.00230062	-72.991245	0	.80898921	.81800753	"model0"	"positivetest"	""
"age1"	"Age spline 1"	.98395121	.00034197	-46.551108	0	.98328118	.9846217	"model0"	"positivetest"	""
"age2"	"Age spline 2"	1.0081718	.00126929	6.4643408	1.017e-10	1.0056871	1.0106626	"model0"	"positivetest"	""
"age3"	"Age spline 3"	.96503322	.00355667	-9.6574131	4.573e-22	.9580874	.97202939	"model0"	"positivetest"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"positivetest"	""
"2.eth5"	"Eth 5 categories"	1.5074728	.00766766	80.691974	0	1.4925191	1.5225763	"model1"	"positivetest"	""
"3.eth5"	"Eth 5 categories"	.91317425	.00931952	-8.8998429	5.593e-19	.89508979	.93162409	"model1"	"positivetest"	""
"4.eth5"	"Eth 5 categories"	.98342663	.01333887	-1.2321338	.21789911	.95762737	1.0099209	"model1"	"positivetest"	""
"5.eth5"	"Eth 5 categories"	.68190127	.00830356	-31.441911	5.41e-217	.66581926	.69837171	"model1"	"positivetest"	""
"6.eth5"	"Eth 5 categories"	1.0082703	.00344156	2.412985	.01582247	1.0015475	1.0150383	"model1"	"positivetest"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"positivetest"	""
"1.male"	"Male"	.81334721	.00230034	-73.048084	0	.8088511	.8178683	"model1"	"positivetest"	""
"age1"	"Age spline 1"	.98396238	.00034202	-46.513173	0	.98329227	.98463295	"model1"	"positivetest"	""
"age2"	"Age spline 2"	1.0083475	.0012698	6.6012109	4.078e-11	1.0058618	1.0108393	"model1"	"positivetest"	""
"age3"	"Age spline 3"	.96452799	.00355561	-9.7972801	1.157e-22	.95758423	.97152209	"model1"	"positivetest"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"positivetest"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	1.0044414	.0046529	.95665474	.33874155	.99536313	1.0136024	"model1"	"positivetest"	""
