parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"crude"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.89915693	.00833929	-11.461201	2.066e-30	.88295987	.9156511	"crude"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.68048836	.00185448	-141.25301	0	.67686334	.68413279	"crude"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	1.0274925	.01244009	2.2401008	.02508438	1.0033974	1.0521663	"crude"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.8935686	.01249831	-8.0455077	8.589e-16	.86940509	.91840369	"crude"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.96637176	.0130045	-2.5419167	.01102464	.9412166	.99219922	"crude"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.8518094	.00895992	-15.248339	1.689e-52	.83442808	.86955279	"crude"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.92235603	.00378387	-19.70164	2.087e-86	.91496952	.92980218	"crude"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.1554384	.00495188	33.711925	3.87e-249	1.1457735	1.1651848	"crude"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.92894689	.00876999	-7.8069447	5.859e-15	.91191607	.94629577	"crude"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.82088838	.00480024	-33.751862	1.00e-249	.81153378	.83035081	"crude"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.76270039	.00742278	-27.83432	1.67e-170	.74828989	.7773884	"crude"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.82560852	.00506198	-31.255552	1.88e-214	.81574658	.83558968	"crude"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.81944065	.00828405	-19.697854	2.250e-86	.80336401	.835839	"crude"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.37117741	.00463909	-79.296749	0	.36219542	.38038214	"crude"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.71520346	.00446632	-53.674577	0	.70650299	.72401107	"crude"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.90701833	.00135482	-65.335955	0	.90436682	.90967762	"crude"	"tested"	""
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model0"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.91712582	.00850571	-9.3279812	1.079e-20	.90060553	.93394914	"model0"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.60998963	.00167425	-180.09658	0	.60671698	.61327993	"model0"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.89552228	.01084704	-9.1102489	8.219e-20	.87451284	.91703646	"model0"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.79231494	.01108522	-16.639085	3.631e-62	.77088349	.81434222	"model0"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.83576564	.01125153	-13.326381	1.626e-40	.81400144	.85811176	"model0"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.7383736	.00777142	-28.817485	1.30e-182	.72329794	.75376349	"model0"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.86205102	.00354039	-36.143944	4.63e-286	.85513984	.86901805	"model0"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.0314194	.00443485	7.1948049	6.255e-13	1.0227637	1.0401482	"model0"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.81559362	.0077066	-21.572385	3.26e-103	.80062796	.83083902	"model0"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.74106886	.00433623	-51.21267	0	.73261855	.74961664	"model0"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.75504282	.0073478	-28.87292	2.61e-183	.74077787	.76958247	"model0"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.73910665	.00453672	-49.251756	0	.73026811	.74805217	"model0"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.74229331	.00750697	-29.467487	7.52e-191	.72772479	.75715348	"model0"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.31687765	.00396311	-91.889523	0	.30920452	.32474119	"model0"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.63958779	.00399806	-71.497642	0	.63179955	.64747204	"model0"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.8712685	.00131752	-91.129637	0	.86869003	.87385462	"model0"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	""
"1.male"	"Male"	.7634626	.00094795	-217.36627	0	.76160691	.7653228	"model0"	"tested"	""
"age1"	"Age spline 1"	.99275505	.00015688	-46.01288	0	.99244761	.99306258	"model0"	"tested"	""
"age2"	"Age spline 2"	.97573233	.00054032	-44.364297	0	.97467391	.97679191	"model0"	"tested"	""
"age3"	"Age spline 3"	1.0840594	.0017148	51.0248	0	1.0807037	1.0874256	"model0"	"tested"	""
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model1"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.91835878	.00851727	-9.1829888	4.193e-20	.90181604	.93520497	"model1"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.61263521	.00168596	-178.04881	0	.60933969	.61594855	"model1"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.90098504	.01091605	-8.6059214	7.571e-18	.87984201	.92263616	"model1"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.79766275	.01116277	-16.154333	1.059e-58	.77608144	.81984419	"model1"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.83733899	.01127297	-13.186378	1.051e-39	.81553332	.85972769	"model1"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.74122183	.00780256	-28.447447	5.24e-178	.72608578	.75667341	"model1"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.86532182	.00355899	-35.170643	5.62e-271	.85837436	.87232551	"model1"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.0425366	.00451372	9.6214972	6.488e-22	1.0337273	1.051421	"model1"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.82466072	.0078039	-20.37196	2.966e-92	.80950633	.84009881	"model1"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.74467562	.00436054	-50.345874	0	.73617797	.75327136	"model1"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.7614695	.00741633	-27.979393	2.89e-172	.74707162	.77614486	"model1"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.7462152	.00459255	-47.565691	0	.73726803	.75527094	"model1"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.74869378	.00757777	-28.59561	7.62e-180	.73398798	.76369423	"model1"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.31680101	.00396218	-91.908191	0	.30912968	.3246627	"model1"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.64310117	.0040236	-70.558545	0	.63526322	.65103583	"model1"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.87173676	.00131854	-90.753193	0	.86915631	.87432488	"model1"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"tested"	""
"1.male"	"Male"	.76363527	.00094819	-217.17776	0	.76177911	.76549595	"model1"	"tested"	""
"age1"	"Age spline 1"	.99271267	.00015687	-46.286221	0	.99240526	.99302017	"model1"	"tested"	""
"age2"	"Age spline 2"	.97559096	.00054025	-44.624648	0	.97453265	.97665041	"model1"	"tested"	""
"age3"	"Age spline 3"	1.0845651	.00171575	51.315051	0	1.0812075	1.0879331	"model1"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.98853501	.00191763	-5.9443386	2.776e-09	.98478367	.99230064	"model1"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.97488609	.00190462	-13.018816	9.564e-39	.97116024	.97862623	"model1"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.97545729	.00192619	-12.58394	2.588e-36	.97168933	.97923987	"model1"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.95564503	.0019616	-22.102628	2.98e-108	.9518081	.95949743	"model1"	"tested"	""
"1b.ethnicity_16"	"Eth 16 categories"	1	0			1	1	"model2"	"tested"	""
"2.ethnicity_16"	"Eth 16 categories"	.93531854	.00867565	-7.2090305	5.635e-13	.91846821	.952478	"model2"	"tested"	""
"3.ethnicity_16"	"Eth 16 categories"	.66523912	.00184026	-147.34717	0	.66164204	.66885576	"model2"	"tested"	""
"4.ethnicity_16"	"Eth 16 categories"	.89884713	.010891	-8.8013118	1.352e-18	.87775263	.92044859	"model2"	"tested"	""
"5.ethnicity_16"	"Eth 16 categories"	.83196496	.01164832	-13.139442	1.957e-39	.80944507	.85511137	"model2"	"tested"	""
"6.ethnicity_16"	"Eth 16 categories"	.86926017	.01170473	-10.405576	2.338e-25	.84661939	.89250642	"model2"	"tested"	""
"7.ethnicity_16"	"Eth 16 categories"	.7751162	.00816093	-24.195136	2.50e-129	.75928497	.79127751	"model2"	"tested"	""
"8.ethnicity_16"	"Eth 16 categories"	.88138171	.00366261	-30.384689	8.75e-203	.87423228	.8885896	"model2"	"tested"	""
"9.ethnicity_16"	"Eth 16 categories"	1.0223494	.00446215	5.0642096	4.101e-07	1.013641	1.0311325	"model2"	"tested"	""
"10.ethnicity_16"	"Eth 16 categories"	.80912401	.00767045	-22.342245	1.44e-110	.79422902	.82429834	"model2"	"tested"	""
"11.ethnicity_16"	"Eth 16 categories"	.7661296	.00450425	-45.312774	0	.75735211	.77500882	"model2"	"tested"	""
"12.ethnicity_16"	"Eth 16 categories"	.76477865	.00745387	-27.514549	1.18e-166	.750308	.7795284	"model2"	"tested"	""
"13.ethnicity_16"	"Eth 16 categories"	.77795691	.00481135	-40.598341	0	.76858377	.78744436	"model2"	"tested"	""
"14.ethnicity_16"	"Eth 16 categories"	.76290074	.00772698	-26.719589	2.79e-157	.74790546	.77819666	"model2"	"tested"	""
"15.ethnicity_16"	"Eth 16 categories"	.37496489	.00469698	-78.308137	0	.36587108	.38428474	"model2"	"tested"	""
"16.ethnicity_16"	"Eth 16 categories"	.68495699	.00429273	-60.378232	0	.67659487	.69342247	"model2"	"tested"	""
"17.ethnicity_16"	"Eth 16 categories"	.94809731	.00147242	-34.3188	4.11e-258	.9452158	.95098761	"model2"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model2"	"tested"	""
"1.male"	"Male"	.84036853	.00111428	-131.16309	0	.83818742	.84255532	"model2"	"tested"	""
"age1"	"Age spline 1"	.98751647	.00016143	-76.843941	0	.98720011	.98783293	"model2"	"tested"	""
"age2"	"Age spline 2"	.97250358	.00055399	-48.944948	0	.9714184	.97358999	"model2"	"tested"	""
"age3"	"Age spline 3"	1.0844743	.00176714	49.7673	0	1.0810163	1.0879433	"model2"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model2"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.98025654	.00190311	-10.271224	9.499e-25	.97653361	.98399367	"model2"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.95844475	.00187859	-21.654305	5.54e-104	.95476984	.9621338	"model2"	"tested"	""
"4.imd"	"Index of Multiple Deprivation (IMD)"	.95029936	.00189229	-25.600999	1.49e-144	.94659776	.95401543	"model2"	"tested"	""
"5.imd"	"Index of Multiple Deprivation (IMD)"	.92347169	.00192865	-38.121089	0	.91969933	.92725953	"model2"	"tested"	""
"1b.bmicat_sa"	"BMI with SA categories"	1	0			1	1	"model2"	"tested"	""
"2.bmicat_sa"	"BMI with SA categories"	1.1011855	.00534511	19.857478	9.496e-88	1.090759	1.1117117	"model2"	"tested"	""
"3.bmicat_sa"	"BMI with SA categories"	1.1719339	.00572541	32.475146	2.39e-231	1.1607659	1.1832094	"model2"	"tested"	""
"4.bmicat_sa"	"BMI with SA categories"	1.2087137	.00606167	37.798129	0	1.1968912	1.2206529	"model2"	"tested"	""
"5.bmicat_sa"	"BMI with SA categories"	1.215305	.00652396	36.324298	6.69e-289	1.2025853	1.2281592	"model2"	"tested"	""
"6.bmicat_sa"	"BMI with SA categories"	1.1953261	.00701355	30.408155	4.29e-203	1.1816586	1.2091518	"model2"	"tested"	""
