parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0554113	.10247081	.55546483	.57857676	.87252493	1.2766318	"crude"	"tested"	""
"3.eth5"	"Eth 5 categories"	.85670224	.10240486	-1.2939009	.19569965	.67777034	1.0828723	"crude"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.1185497	.17764997	.70540059	.48056097	.81934348	1.5270194	"crude"	"tested"	""
"5.eth5"	"Eth 5 categories"	1.0130946	.1399737	.09416013	.92498196	.77275916	1.3281766	"crude"	"tested"	""
"6.eth5"	"Eth 5 categories"	1.0019881	.02074344	.09593764	.9235701	.9621455	1.0434806	"crude"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model0"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0307566	.1008359	.30965938	.75681999	.85091378	1.2486096	"model0"	"tested"	""
"3.eth5"	"Eth 5 categories"	.8425814	.10106412	-1.4280197	.15328618	.66606068	1.065884	"model0"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.0955744	.17461668	.57269853	.56684883	.80163052	1.4973024	"model0"	"tested"	""
"5.eth5"	"Eth 5 categories"	.99907515	.1383998	-.00667937	.99467067	.76152292	1.3107303	"model0"	"tested"	""
"6.eth5"	"Eth 5 categories"	1.00562	.02088188	.26988703	.78724716	.96551393	1.047392	"model0"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model0"	"tested"	""
"1.male"	"Male"	1.0068926	.02004888	.34497199	.73011543	.96835441	1.0469645	"model0"	"tested"	""
"age1"	"Age spline 1"	1.0053831	.00873005	.61826885	.53639813	.98841725	1.0226401	"model0"	"tested"	""
"age2"	"Age spline 2"	.98541345	.02223199	-.6512978	.51485427	.94278889	1.0299651	"model0"	"tested"	""
"age3"	"Age spline 3"	1.033035	.05630144	.59633888	.55094886	.92837556	1.1494931	"model0"	"tested"	""
"1b.eth5"	"Eth 5 categories"	1	0			1	1	"model1"	"tested"	""
"2.eth5"	"Eth 5 categories"	1.0013159	.09805638	.0134283	.98928609	.82644707	1.2131853	"model1"	"tested"	""
"3.eth5"	"Eth 5 categories"	.82181772	.09857173	-1.6360752	.10182385	.6496499	1.0396128	"model1"	"tested"	""
"4.eth5"	"Eth 5 categories"	1.082893	.17260842	.4996131	.61734753	.79233297	1.4800056	"model1"	"tested"	""
"5.eth5"	"Eth 5 categories"	.99685429	.13808783	-.02274462	.98185398	.75983658	1.3078055	"model1"	"tested"	""
"6.eth5"	"Eth 5 categories"	1.0080193	.02093719	.38455015	.70057073	.96780725	1.0499022	"model1"	"tested"	""
"0b.male"	"Male"	1	0			1	1	"model1"	"tested"	""
"1.male"	"Male"	1.0030093	.01998691	.15078767	.88014321	.96459075	1.0429579	"model1"	"tested"	""
"age1"	"Age spline 1"	1.0054565	.00873202	.62658093	.53093397	.98848685	1.0227174	"model1"	"tested"	""
"age2"	"Age spline 2"	.98391434	.02219469	-.71889214	.47220738	.94136116	1.0283911	"model1"	"tested"	""
"age3"	"Age spline 3"	1.0389074	.05660826	.7005107	.48360842	.93367635	1.1559987	"model1"	"tested"	""
"1b.imd"	"Index of Multiple Deprivation (IMD)"	1	0			1	1	"model1"	"tested"	""
"2.imd"	"Index of Multiple Deprivation (IMD)"	.98556219	.0286246	-.50072571	.61656417	.93102596	1.043293	"model1"	"tested"	""
"3.imd"	"Index of Multiple Deprivation (IMD)"	.98727187	.02841976	-.44499979	.65631991	.93311237	1.0445749	"model1"	"tested"	""
