eq	parm	label	estimate	stderr	z	p	min95	max95	model	outcome	idstr4
"hes_30"	"1b.eth5"	"Eth 5 categories"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.eth5"	"Eth 5 categories"	1.0023022	.0278097	.08287843	.9339482	.9492517	1.0583175	"crude"	"hes"	""
"hes_30"	"3.eth5"	"Eth 5 categories"	.99038125	.06172036	-.15509205	.87674875	.87650764	1.119049	"crude"	"hes"	""
"hes_30"	"4.eth5"	"Eth 5 categories"	.66725413	.06366878	-4.2400773	.00002234	.55343981	.80447424	"crude"	"hes"	""
"hes_30"	"5.eth5"	"Eth 5 categories"	.89970302	.06859343	-1.3862859	.16565962	.77482478	1.0447078	"crude"	"hes"	""
"hes_30"	"6.eth5"	"Eth 5 categories"	.78920324	.01593564	-11.723981	9.605e-32	.75857992	.82106281	"crude"	"hes"	""
"hes_30"	"1b.stp"	"Sustainability and Transformation Partnership"	1	0			1	1	"crude"	"hes"	""
"hes_30"	"2.stp"	"Sustainability and Transformation Partnership"	.89791457	.32666183	-.2959873	.76723978	.44011627	1.8319036	"crude"	"hes"	""
"hes_30"	"3.stp"	"Sustainability and Transformation Partnership"	1.0083595	.36773512	.02282719	.98178812	.49339379	2.0608061	"crude"	"hes"	""
"hes_30"	"4.stp"	"Sustainability and Transformation Partnership"	1.2443803	.4561377	.59646119	.55086717	.60665016	2.552513	"crude"	"hes"	""
"hes_30"	"5.stp"	"Sustainability and Transformation Partnership"	.95962352	.35592653	-.11111887	.91152209	.46386148	1.985242	"crude"	"hes"	""
"hes_30"	"6.stp"	"Sustainability and Transformation Partnership"	1.3006609	.4735682	.72198257	.47030519	.6371522	2.655125	"crude"	"hes"	""
"hes_30"	"7.stp"	"Sustainability and Transformation Partnership"	1.8511914	.69202847	1.6473572	.09948464	.88970852	3.8517216	"crude"	"hes"	""
"hes_30"	"8.stp"	"Sustainability and Transformation Partnership"	1.2677267	.46244994	.65031231	.51549051	.62018119	2.5913896	"crude"	"hes"	""
"hes_30"	"9.stp"	"Sustainability and Transformation Partnership"	1.1411675	.41768004	.36078645	.71825909	.55692939	2.3382915	"crude"	"hes"	""
"hes_30"	"10.stp"	"Sustainability and Transformation Partnership"	1.109247	.40463331	.28422854	.77623525	.54265688	2.2674162	"crude"	"hes"	""
"hes_30"	"11.stp"	"Sustainability and Transformation Partnership"	1.0365924	.37815177	.09851579	.92152274	.50709271	2.118989	"crude"	"hes"	""
"hes_30"	"12.stp"	"Sustainability and Transformation Partnership"	1.594711	.58335437	1.2757934	.20202855	.77858781	3.2663022	"crude"	"hes"	""
"hes_30"	"13.stp"	"Sustainability and Transformation Partnership"	1.1727712	.42899928	.43567436	.66307301	.57259044	2.4020526	"crude"	"hes"	""
