tested characteristics wave 2
	Category	Total	%	Tested	%
cons	==1	17708256	100.0	2660792	15.03

Age (years)	Mean (SD)	49.7	18.7	46.6	18.5	

male	==0	8864721	50.1	1489961	16.81
male	==1	8843535	49.9	1170831	13.24

eth5	==1	11375367	64.2	1742861	15.32
eth5	==2	1061984	6.0	166965	15.72
eth5	==3	356176	2.0	48140	13.52
eth5	==4	179787	1.0	26719	14.86
eth5	==5	335295	1.9	32957	9.83
eth5	==6	4399647	24.8	643150	14.62
eth5	>=.	0	0.0	0	   .

imd	==1	3611794	20.4	550614	15.24
imd	==2	3552346	20.1	528051	14.86
imd	==3	3616818	20.4	530371	14.66
imd	==4	3545015	20.0	532633	15.02
imd	==5	3382283	19.1	519123	15.35

region2	==1	4109434	23.2	655965	15.96
region2	==2	3096841	17.5	455107	14.70
region2	==3	1236424	7.0	163092	13.19
region2	==4	813962	4.6	130859	16.08
region2	==5	1563841	8.8	263389	16.84
region2	==6	1181331	6.7	157928	13.37
region2	==7	2473482	14.0	311766	12.60
region2	==8	711616	4.0	116899	16.43

Count of co-morbid conditions	Mean (SD)	0.6	0.9	0.7	0.9	

